,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
5,B1,12/01/2025,12:30,Beerschot VA,Antwerp,4.7,4.3,1.79,1.73,2.22,0.75,0.0,0.0
6,B1,12/01/2025,15:00,Dender,Gent,3.25,3.55,2.2,1.84,1.98,0.25,0.0,0.0
7,B1,12/01/2025,17:30,Anderlecht,Club Brugge,3.7,3.6,2.16,1.76,2.12,0.25,0.0,0.0
8,B1,12/01/2025,18:15,Cercle Brugge,Mechelen,2.32,3.7,3.1,1.79,1.87,-0.25,0.0,0.0
16,D1,12/01/2025,14:30,RB Leipzig,Werder Bremen,1.79,4.3,4.6,1.57,2.66,-0.75,1.98,1.96
17,D1,12/01/2025,16:30,Augsburg,Stuttgart,3.7,3.85,2.08,1.76,2.24,0.5,1.9,2.08
45,F1,12/01/2025,14:00,Le Havre,Lens,6.2,3.85,1.7,2.08,1.85,0.75,2.07,1.89
46,F1,12/01/2025,16:15,Montpellier,Angers,2.16,3.6,3.7,1.94,1.95,-0.25,1.86,2.11
47,F1,12/01/2025,16:15,Toulouse,Strasbourg,1.78,4.1,4.9,1.84,2.12,-0.75,2.01,1.94
48,F1,12/01/2025,19:45,Paris SG,St Etienne,1.12,13.0,28.0,1.22,4.5,-2.75,2.04,1.85
59,G1,12/01/2025,14:30,Panserraikos,Panathinaikos,2.66,4.4,1.45,1.74,1.86,1.25,0.0,0.0
60,G1,12/01/2025,15:00,Lamia,Atromitos,3.25,2.94,2.18,2.56,1.48,0.25,0.0,0.0
61,G1,12/01/2025,17:30,PAOK,Volos NFC,1.19,6.0,3.7,1.53,2.08,-1.75,0.0,0.0
62,G1,12/01/2025,18:30,AEK,Athens Kallithea,1.15,5.0,5.0,1.48,2.48,-2.0,0.0,0.0
70,I1,12/01/2025,11:30,Genoa,Parma,2.04,3.6,4.2,1.97,2.02,-0.5,2.04,1.94
71,I1,12/01/2025,14:00,Venezia,Inter,11.5,6.2,1.31,1.61,2.54,1.5,2.08,1.86
72,I1,12/01/2025,17:00,Bologna,Roma,2.96,3.3,2.74,2.24,1.76,0.0,2.07,1.91
73,I1,12/01/2025,19:45,Napoli,Verona,1.25,6.8,14.5,1.69,2.34,-1.75,1.98,1.92
75,I2,12/01/2025,11:30,Salernitana,Sassuolo,4.1,3.65,1.86,1.84,1.98,0.5,0.0,0.0
76,I2,12/01/2025,14:00,Cosenza,Mantova,1.97,3.35,4.1,2.12,1.75,-0.5,0.0,0.0
77,I2,12/01/2025,14:00,Frosinone,Cremonese,3.5,3.05,2.3,2.34,1.63,0.25,0.0,0.0
78,I2,12/01/2025,14:00,Palermo,Modena,2.04,1.01,1.04,2.3,1.54,-0.5,0.0,0.0
79,I2,12/01/2025,14:00,Reggiana,Bari,2.54,2.94,3.2,2.32,1.62,-0.25,0.0,0.0
80,I2,12/01/2025,14:00,Spezia,Juve Stabia,1.74,3.2,4.4,2.38,1.56,-0.75,0.0,0.0
81,I2,12/01/2025,14:00,Sudtirol,Catanzaro,2.46,2.94,3.05,2.38,1.54,-0.25,0.0,0.0
82,I2,12/01/2025,16:15,Cesena,Cittadella,1.42,3.1,4.5,2.06,1.66,-0.5,0.0,0.0
83,I2,12/01/2025,18:30,Brescia,Sampdoria,2.68,3.25,2.76,2.1,1.76,0.0,0.0,0.0
90,N1,12/01/2025,11:15,Twente,Willem II,1.44,4.7,7.8,1.65,2.12,-1.25,0.0,0.0
91,N1,12/01/2025,13:30,Feyenoord,Utrecht,1.45,5.3,6.4,1.53,2.52,-1.25,0.0,0.0
92,N1,12/01/2025,13:30,Groningen,Almere City,1.78,3.6,5.4,2.14,1.76,-0.75,0.0,0.0
93,N1,12/01/2025,15:45,NAC Breda,Heerenveen,2.18,3.5,3.4,1.92,1.94,-0.25,0.0,0.0
97,SC0,12/01/2025,15:00,Aberdeen,Hearts,2.52,3.6,2.86,1.8,1.92,0.0,0.0,0.0
98,SC0,12/01/2025,15:00,Rangers,St Johnstone,1.12,9.6,10.5,1.33,1.5,-2.5,0.0,0.0
101,SC1,12/01/2025,15:00,Morton,Raith Rvs,2.94,1.03,3.0,2.08,1.52,0.0,1.85,1.73
117,SP1,12/01/2025,13:00,Las Palmas,Getafe,2.52,3.0,3.55,2.86,1.52,-0.25,2.12,1.86
118,SP1,12/01/2025,15:15,Ath Madrid,Osasuna,1.32,6.0,12.0,1.86,2.1,-1.5,2.02,1.91
127,SP2,12/01/2025,13:00,Cordoba,Almeria,2.74,3.6,2.52,1.78,2.1,0.0,0.0,0.0
128,SP2,12/01/2025,15:15,Cadiz,Levante,2.6,3.15,3.05,2.2,1.67,-0.25,0.0,0.0
129,SP2,12/01/2025,15:15,Elche,Zaragoza,1.83,3.25,4.8,2.36,1.56,-0.5,0.0,0.0
134,T1,12/01/2025,10:30,Sivasspor,Alanyaspor,2.88,3.35,2.48,1.91,1.94,0.0,2.06,1.77
135,T1,12/01/2025,13:00,Trabzonspor,Antalyaspor,1.55,4.9,5.5,1.6,2.44,-1.0,0.0,0.0
136,T1,12/01/2025,16:00,Buyuksehyr,Galatasaray,5.1,5.0,1.57,1.5,2.48,1.0,0.0,0.0
137,T1,12/01/2025,16:00,Gaziantep,Ad. Demirspor,1.46,4.7,5.9,1.54,2.44,-1.25,0.0,0.0
