,league,Date,Time,Home,Away,Odd_H_Open,Odd_D_Open,Odd_A_Open,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
8,E0,05/01/2025,14:00,Fulham,Ipswich,1.59,4.5,6.2,1.76,2.24,-1.0,1.96,1.95
9,E0,05/01/2025,16:30,Liverpool,Man United,1.31,6.6,11.0,1.45,3.1,-1.75,2.04,1.93
21,E1,05/01/2025,15:00,Sunderland,Portsmouth,1.5,4.8,7.2,1.81,2.08,-1.0,0.0,0.0
43,E3,05/01/2025,15:00,Chesterfield,Gillingham,1.87,3.45,4.1,1.92,1.76,-0.5,0.0,0.0
44,E3,05/01/2025,15:00,Crewe,Bromley,2.4,2.92,3.25,2.04,1.7,-0.25,0.0,0.0
45,E3,05/01/2025,15:00,Fleetwood Town,AFC Wimbledon,2.84,3.2,2.52,2.04,1.76,0.0,0.0,0.0
46,E3,05/01/2025,15:00,Newport County,Morecambe,2.48,3.4,2.84,1.8,2.0,-0.25,0.0,0.0
52,F1,05/01/2025,14:00,Angers,Brest,3.45,3.3,2.32,2.1,1.72,0.25,1.94,1.98
53,F1,05/01/2025,14:00,Lens,Toulouse,2.02,3.55,4.2,2.08,1.79,-0.5,2.02,1.96
54,F1,05/01/2025,14:00,Strasbourg,Auxerre,1.91,3.9,4.3,1.64,2.24,-0.5,1.91,2.06
55,F1,05/01/2025,19:45,Marseille,Le Havre,1.33,6.0,11.0,1.65,2.4,-1.5,1.93,2.02
66,G1,05/01/2025,13:00,Levadeiakos,Panserraikos,2.06,3.1,4.0,2.26,1.58,-0.25,1.74,2.13
67,G1,05/01/2025,14:30,Aris,OFI Crete,1.6,3.8,4.5,1.89,1.81,-0.75,0.0,0.0
68,G1,05/01/2025,15:00,Volos NFC,AEK,1.04,4.8,1.28,1.73,2.0,1.5,0.0,0.0
69,G1,05/01/2025,17:30,Atromitos,Asteras Tripolis,2.0,3.1,3.9,2.4,1.59,-0.5,0.0,0.0
70,G1,05/01/2025,18:30,Panathinaikos,PAOK,2.04,3.3,3.5,2.12,1.7,-0.25,0.0,0.0
75,I1,05/01/2025,11:30,Monza,Cagliari,2.54,3.3,3.2,2.06,1.89,-0.25,2.15,1.84
76,I1,05/01/2025,14:00,Lecce,Genoa,2.8,3.05,3.1,2.44,1.62,0.0,1.89,2.09
77,I1,05/01/2025,17:00,Torino,Parma,1.92,3.65,4.7,2.06,1.92,-0.5,1.92,2.06
78,I1,05/01/2025,19:45,Roma,Lazio,2.66,3.25,3.1,2.08,1.87,0.0,1.84,2.14
84,P1,05/01/2025,15:30,Santa Clara,Farense,1.7,3.35,6.4,2.2,1.59,-0.75,0.0,0.0
85,P1,05/01/2025,18:00,Casa Pia,Famalicao,2.38,3.05,3.55,2.48,1.49,-0.25,0.0,0.0
86,P1,05/01/2025,20:30,Estrela,Estoril,2.28,3.1,3.65,2.3,1.64,-0.25,0.0,0.0
88,SC0,05/01/2025,12:00,Hibernian,Rangers,5.9,4.5,1.58,1.51,2.42,1.0,1.86,1.84
89,SC0,05/01/2025,14:30,Motherwell,Aberdeen,2.62,3.35,2.8,1.97,1.89,0.0,0.0,0.0
90,SC0,05/01/2025,15:00,Celtic,St Mirren,1.14,10.0,19.5,1.46,2.82,-2.5,0.0,0.0
91,SC0,05/01/2025,15:00,Dundee United,Hearts,2.46,3.35,2.72,1.81,1.92,-0.25,0.0,0.0
92,SC0,05/01/2025,15:00,Kilmarnock,Ross County,1.64,3.9,5.2,1.86,1.94,-0.75,0.0,0.0
93,SC0,05/01/2025,15:00,St Johnstone,Dundee,2.9,3.3,2.64,1.92,2.06,0.0,0.0,0.0
116,T1,05/01/2025,10:30,Kasimpasa,Gaziantep,1.88,4.1,4.2,1.65,2.32,-0.75,2.11,1.86
117,T1,05/01/2025,13:00,Bodrumspor,Kayserispor,2.14,3.35,3.9,2.02,1.85,-0.25,1.85,2.1
118,T1,05/01/2025,16:00,Fenerbahce,Hatayspor,1.13,11.5,30.0,1.38,3.3,-2.5,0.0,0.0
