,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
2,D1,10/01/2026,14:30,Freiburg,Hamburg,1.83,3.8,5.1,1.87,2.1,-0.75,2.06,1.91
3,D1,10/01/2026,14:30,Heidenheim,FC Koln,3.0,3.6,2.5,1.82,2.14,0.25,1.83,2.15
4,D1,10/01/2026,14:30,St Pauli,RB Leipzig,4.4,3.85,1.94,1.86,2.1,0.5,2.05,1.94
5,D1,10/01/2026,14:30,Union Berlin,Mainz,2.22,3.3,4.0,2.36,1.71,-0.25,1.88,2.11
6,D1,10/01/2026,14:30,Werder Bremen,Hoffenheim,3.0,3.85,2.42,1.63,2.52,0.25,1.88,2.1
7,D1,10/01/2026,17:30,Leverkusen,Stuttgart,2.02,4.1,3.7,1.54,2.78,-0.5,2.02,1.96
10,E2,10/01/2026,12:30,Luton,Stevenage,1.96,3.35,4.8,2.5,1.55,-0.5,1.96,1.99
11,E2,10/01/2026,12:30,Stockport,Huddersfield,2.5,3.6,2.94,1.94,1.99,0.0,1.82,2.13
12,E2,10/01/2026,15:00,Bradford,Rotherham,1.62,4.0,6.8,2.06,1.84,-1.0,2.11,1.83
13,E2,10/01/2026,15:00,Leyton Orient,Cardiff,4.2,4.1,1.89,1.67,2.28,0.5,2.08,1.89
14,E2,10/01/2026,15:00,Peterboro,Bolton,3.0,3.75,2.34,1.82,2.04,0.25,1.87,2.03
15,E3,10/01/2026,15:00,Accrington,Barnet,3.45,3.4,2.2,2.0,1.82,0.25,1.96,1.88
16,E3,10/01/2026,15:00,Crewe,Harrogate,1.54,4.2,6.0,1.71,1.82,-1.0,1.86,1.83
17,E3,10/01/2026,15:00,Tranmere,Bromley,3.45,3.65,2.2,1.87,1.94,0.25,2.06,1.91
18,EC,10/01/2026,15:00,Aldershot,Solihull,2.0,4.0,3.3,1.45,2.78,-0.5,2.0,1.85
19,EC,10/01/2026,15:00,Sutton,York,5.7,4.7,1.49,1.46,2.72,1.0,2.05,1.76
20,EC,10/01/2026,15:00,Woking,Hartlepool,2.72,3.45,2.76,1.97,1.94,0.0,1.95,1.99
21,EC,10/01/2026,17:30,Braintree Town,Boston Utd,2.64,3.0,2.66,1.82,1.8,0.0,1.87,1.88
22,G1,10/01/2026,15:00,Kifisia,Larisa,1.63,3.9,5.7,2.0,1.82,-0.75,1.83,2.05
23,G1,10/01/2026,17:30,Atromitos,Olympiakos,13.5,5.6,1.3,1.8,2.02,1.5,1.89,1.91
24,G1,10/01/2026,17:30,Panetolikos,PAOK,9.8,4.7,1.41,1.82,2.0,1.25,1.95,1.89
29,I1,10/01/2026,14:00,Como,Bologna,2.04,3.45,4.5,2.18,1.81,-0.5,2.04,1.95
30,I1,10/01/2026,14:00,Udinese,Pisa,1.93,3.4,5.1,2.38,1.69,-0.5,1.93,2.06
31,I1,10/01/2026,17:00,Roma,Sassuolo,1.59,4.2,7.4,2.06,1.89,-1.0,2.01,1.96
32,I1,10/01/2026,19:45,Atalanta,Torino,1.64,4.2,6.4,1.89,2.06,-1.0,2.06,1.9
39,I2,10/01/2026,14:00,Avellino,Sampdoria,2.0,3.1,2.46,2.2,1.58,0.0,0.0,0.0
40,I2,10/01/2026,14:00,Carrarese,Bari,2.04,3.3,4.4,2.2,1.74,-0.5,2.04,1.9
41,I2,10/01/2026,14:00,Frosinone,Catanzaro,2.16,3.4,3.65,1.84,2.06,-0.25,1.85,2.06
42,I2,10/01/2026,14:00,Reggiana,Venezia,6.0,3.85,1.65,2.06,1.84,0.75,2.06,1.84
43,I2,10/01/2026,14:00,Sudtirol,Spezia,2.4,3.05,3.35,2.32,1.64,-0.25,2.04,1.89
44,I2,10/01/2026,14:00,Virtus Entella,Monza,4.4,3.3,2.0,2.34,1.65,0.5,1.92,2.0
