,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
45,E1,28/04/2025,20:00,Leeds,Bristol City,1.65,4.5,5.1,0.0,0.0,-1.0,0.0,0.0
104,G1,28/04/2025,16:00,Levadeiakos,Lamia,0.0,0.0,0.0,0.0,0.0,-1.25,0.0,0.0
105,G1,28/04/2025,16:00,Panetolikos,Athens Kallithea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,G1,28/04/2025,18:00,Volos NFC,Panserraikos,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.0
114,I1,28/04/2025,17:30,Udinese,Bologna,5.1,3.5,1.9,2.22,1.59,0.5,2.09,1.9
115,I1,28/04/2025,19:45,Lazio,Parma,1.57,4.6,5.3,1.73,2.0,-1.0,1.84,1.95
116,I1,28/04/2025,19:45,Verona,Cagliari,2.7,2.82,3.6,2.5,1.48,-0.25,2.22,1.8
141,P1,28/04/2025,20:15,Casa Pia,Estoril,1.09,1.07,3.85,0.0,0.0,-0.5,0.0,0.0
174,SP2,28/04/2025,19:30,Almeria,Ferrol,1.23,1.01,1.23,0.0,0.0,-1.5,0.0,0.0
183,T1,28/04/2025,18:00,Goztep,Buyuksehyr,1.04,1.63,3.4,0.0,0.0,-0.25,0.0,0.0
