,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
83,F2,03/03/2025,19:45,Ajaccio,Dunkerque,1.14,1.44,1.42,0.0,0.0,0.25,0.0,0.0
100,I1,03/03/2025,19:45,Juventus,Verona,1.29,6.0,14.0,1.76,1.98,-1.5,1.91,1.87
127,P1,03/03/2025,20:15,Sp Lisbon,Estoril,1.09,7.0,1.05,0.0,0.0,-2.0,0.0,0.0
158,SP1,03/03/2025,20:00,Villarreal,Espanol,1.44,5.3,8.0,1.65,2.16,-1.25,1.87,2.0
169,SP2,03/03/2025,19:30,Mirandes,Tenerife,1.85,2.1,2.36,0.0,0.0,-0.5,0.0,0.0
175,T1,03/03/2025,13:00,Gaziantep,Eyupspor,2.12,1.09,3.0,0.0,0.0,-0.25,0.0,0.0
176,T1,03/03/2025,13:00,Konyaspor,Trabzonspor,2.0,1.13,2.72,0.0,0.0,0.0,0.0,0.0
177,T1,03/03/2025,17:30,Buyuksehyr,Sivasspor,1.28,3.85,5.2,0.0,0.0,-0.75,0.0,0.0
178,T1,03/03/2025,17:30,Goztep,Samsunspor,1.09,1.09,3.9,0.0,0.0,-0.5,0.0,0.0
