,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
6,B1,11/05/2025,12:30,Gent,Antwerp,1.04,1.01,1.04,0.0,0.0,0.0,0.0,0.0
7,B1,11/05/2025,17:30,Genk,Club Brugge,1.08,1.57,1.42,0.0,0.0,0.5,0.0,0.0
8,B1,11/05/2025,18:15,Dender,Oud-Heverlee Leuven,1.07,1.14,1.07,0.0,0.0,0.0,0.0,0.0
15,D1,11/05/2025,14:30,Leverkusen,Dortmund,2.64,4.2,2.54,1.46,2.56,0.0,2.02,1.96
16,D1,11/05/2025,16:30,Ein Frankfurt,St Pauli,1.54,4.6,6.6,1.67,2.08,-1.0,1.81,1.98
17,D1,11/05/2025,18:30,Stuttgart,Augsburg,1.63,4.5,5.6,1.53,2.34,-1.0,1.9,1.89
24,D2,11/05/2025,12:30,Hannover,Greuther Furth,1.6,1.03,1.04,0.0,0.0,-0.5,0.0,0.0
25,D2,11/05/2025,12:30,Kaiserslautern,Darmstadt,1.33,1.49,3.8,0.0,0.0,-0.5,0.0,0.0
26,D2,11/05/2025,12:30,Regensburg,Karlsruhe,1.28,1.02,1.28,0.0,0.0,0.5,0.0,0.0
32,E0,11/05/2025,12:00,Newcastle,Chelsea,2.28,3.85,3.3,1.53,2.44,-0.25,1.98,2.01
33,E0,11/05/2025,14:15,Man United,West Ham,2.04,3.8,3.85,1.73,2.1,-0.5,2.04,1.92
34,E0,11/05/2025,14:15,Nott'm Forest,Leicester,1.38,5.6,10.0,1.63,2.16,-1.5,2.06,1.77
35,E0,11/05/2025,14:15,Tottenham,Crystal Palace,2.82,3.7,2.58,1.61,2.52,0.0,2.05,1.91
36,E0,11/05/2025,16:30,Liverpool,Arsenal,2.24,3.6,3.5,1.83,2.06,-0.5,2.24,1.78
60,G1,11/05/2025,18:00,Panathinaikos,Olympiakos,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0
61,G1,11/05/2025,18:00,PAOK,AEK,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0
66,I1,11/05/2025,11:30,Udinese,Monza,1.54,4.3,7.4,1.9,1.87,-1.0,1.8,2.01
67,I1,11/05/2025,14:00,Verona,Lecce,2.52,3.0,3.65,2.48,1.48,-0.25,2.1,1.89
68,I1,11/05/2025,17:00,Torino,Inter,6.8,4.4,1.56,1.94,1.78,1.0,1.9,2.01
69,I1,11/05/2025,19:45,Napoli,Genoa,1.34,5.1,13.0,1.99,1.74,-1.5,1.95,1.78
86,N1,11/05/2025,11:15,Zwolle,Go Ahead Eagles,1.41,1.49,2.44,0.0,0.0,0.0,0.0,0.0
87,N1,11/05/2025,13:30,Feyenoord,PSV Eindhoven,1.3,1.01,1.3,0.0,0.0,0.0,0.0,0.0
88,N1,11/05/2025,13:30,Twente,Utrecht,2.44,3.95,2.84,0.0,0.0,0.0,0.0,0.0
89,N1,11/05/2025,15:45,Ajax,Nijmegen,1.05,1.32,1.81,0.0,0.0,-1.5,0.0,0.0
90,N1,11/05/2025,15:45,AZ Alkmaar,Groningen,1.3,1.03,1.04,0.0,0.0,-0.75,0.0,0.0
96,P1,11/05/2025,15:30,Estrela,AVS,1.02,1.01,1.01,0.0,0.0,-0.5,0.0,0.0
97,P1,11/05/2025,18:00,Guimaraes,Farense,1.05,1.11,1.11,0.0,0.0,-1.0,0.0,0.0
98,P1,11/05/2025,18:00,Moreirense,Estoril,1.05,1.04,1.05,0.0,0.0,-0.25,0.0,0.0
99,P1,11/05/2025,20:30,Boavista,Porto,1.13,1.13,1.05,0.0,0.0,1.25,0.0,0.0
105,SC0,11/05/2025,12:00,Rangers,Aberdeen,1.63,3.95,4.6,0.0,0.0,-1.0,0.0,0.0
112,SP1,11/05/2025,13:00,Leganes,Espanol,2.48,3.15,3.5,2.54,1.46,-0.25,2.08,1.89
113,SP1,11/05/2025,15:15,Barcelona,Real Madrid,1.99,4.3,3.7,1.36,2.94,-0.5,1.99,2.0
114,SP1,11/05/2025,17:30,Ath Bilbao,Alaves,1.89,3.3,5.0,2.52,1.47,-0.5,1.89,2.07
115,SP1,11/05/2025,20:00,Betis,Osasuna,1.65,4.2,5.8,1.79,1.93,-0.75,1.79,2.14
122,SP2,11/05/2025,13:00,Santander,Oviedo,1.04,1.36,1.04,0.0,0.0,-0.25,0.0,0.0
123,SP2,11/05/2025,17:30,Albacete,Huesca,1.04,1.78,1.04,0.0,0.0,-0.5,0.0,0.0
124,SP2,11/05/2025,17:30,Eldense,Malaga,1.26,1.26,1.04,0.0,0.0,-0.75,0.0,0.0
125,SP2,11/05/2025,20:00,Tenerife,Ferrol,1.04,1.12,1.12,0.0,0.0,-1.0,0.0,0.0
132,T1,11/05/2025,14:00,Sivasspor,Bodrumspor,1.04,1.01,1.04,1.01,1.15,-0.25,1.02,1.82
133,T1,11/05/2025,17:00,Besiktas,Ad. Demirspor,1.04,1.03,1.04,0.0,0.0,-2.75,0.0,0.0
134,T1,11/05/2025,17:00,Goztep,Hatayspor,1.04,2.66,2.68,0.0,0.0,-1.75,0.0,0.0
