,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
2,B1,07/02/2026,15:00,Waregem,Dender,2.18,3.45,3.7,1.9,1.74,-0.25,1.87,2.07
3,B1,07/02/2026,17:15,Charleroi,Cercle Brugge,2.04,3.4,4.3,2.0,1.85,-0.5,2.04,1.89
4,B1,07/02/2026,19:45,Gent,Oud-Heverlee Leuven,1.89,3.55,4.8,1.91,1.94,-0.5,1.89,2.07
10,D1,07/02/2026,14:30,Freiburg,Werder Bremen,1.9,3.85,4.5,1.82,2.18,-0.75,2.15,1.84
11,D1,07/02/2026,14:30,Heidenheim,Hamburg,2.98,3.6,2.56,1.86,2.1,0.0,2.16,1.84
12,D1,07/02/2026,14:30,Mainz,Augsburg,2.14,3.65,3.7,1.9,2.08,-0.25,1.85,2.14
13,D1,07/02/2026,14:30,St Pauli,Stuttgart,4.6,3.75,1.9,1.96,2.0,0.5,2.08,1.9
14,D1,07/02/2026,14:30,Wolfsburg,Dortmund,4.6,4.2,1.82,1.61,2.56,0.75,1.95,2.02
15,D1,07/02/2026,17:30,M'gladbach,Leverkusen,3.8,3.85,2.06,1.68,2.4,0.5,1.92,2.06
20,D2,07/02/2026,12:00,Elversberg,Hertha,2.18,3.75,3.4,1.66,2.36,-0.25,1.91,2.04
21,D2,07/02/2026,12:00,Paderborn,Nurnberg,1.92,4.0,4.3,1.76,2.0,-0.5,1.92,2.07
22,D2,07/02/2026,12:00,Schalke 04,Dresden,1.78,3.8,5.2,2.02,1.9,-0.75,2.01,1.92
23,D2,07/02/2026,19:30,Darmstadt,Kaiserslautern,1.92,3.9,4.3,1.67,2.28,-0.5,1.92,2.04
28,E0,07/02/2026,12:30,Man United,Tottenham,1.62,4.9,5.5,1.51,2.92,-1.0,2.0,1.97
29,E0,07/02/2026,15:00,Arsenal,Sunderland,1.25,7.0,16.0,1.78,2.22,-1.75,1.98,1.97
