,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
5,B1,30/03/2025,12:30,Club Brugge,Anderlecht,1.56,4.3,6.6,1.79,2.12,-1.0,1.93,1.94
6,B1,30/03/2025,15:00,Kortrijk,Cercle Brugge,1.04,1.2,1.04,2.04,1.61,0.0,1.83,1.85
7,B1,30/03/2025,17:30,Genk,Gent,1.58,4.5,5.9,1.6,2.46,-1.0,1.85,1.85
8,B1,30/03/2025,18:15,Dender,Westerlo,2.64,3.5,2.64,1.77,2.14,0.0,0.0,0.0
16,D1,30/03/2025,14:30,Freiburg,Union Berlin,2.04,3.5,4.3,2.2,1.78,-0.5,2.04,1.92
17,D1,30/03/2025,16:30,Dortmund,Mainz,1.72,4.2,5.3,1.69,2.34,-0.75,1.9,2.05
24,D2,30/03/2025,12:30,Greuther Furth,Schalke 04,2.6,3.55,2.72,1.79,2.1,0.0,1.92,1.95
25,D2,30/03/2025,12:30,Preußen Münster,Braunschweig,2.3,3.2,3.4,2.16,1.74,-0.25,1.96,1.89
26,D2,30/03/2025,12:30,Regensburg,Nurnberg,3.4,3.55,2.1,1.84,1.47,0.25,2.04,1.81
77,F1,30/03/2025,14:00,Toulouse,Brest,2.08,3.4,4.2,2.16,1.79,-0.5,2.08,1.9
78,F1,30/03/2025,16:15,Angers,Rennes,4.3,3.75,1.94,2.02,1.9,0.5,2.01,1.94
79,F1,30/03/2025,16:15,Auxerre,Montpellier,1.8,4.0,4.9,1.81,2.14,-0.75,2.02,1.94
80,F1,30/03/2025,16:15,Le Havre,Nantes,3.25,3.35,2.42,2.16,1.79,0.25,1.88,2.08
81,F1,30/03/2025,19:45,Lille,Lens,2.06,3.5,3.95,2.04,1.85,-0.5,2.06,1.86
95,G1,30/03/2025,15:00,Panserraikos,Lamia,1.9,3.3,4.5,2.44,1.6,-0.5,1.9,1.98
96,G1,30/03/2025,17:00,AEK,PAOK,2.06,2.56,3.15,1.92,1.66,-0.25,1.74,1.92
97,G1,30/03/2025,19:00,Olympiakos,Panathinaikos,1.74,3.45,5.6,2.26,1.67,-0.75,1.97,1.88
102,I1,30/03/2025,11:30,Cagliari,Monza,1.74,3.75,6.2,2.2,1.78,-0.75,1.95,2.02
103,I1,30/03/2025,14:00,Fiorentina,Atalanta,3.9,3.55,2.16,2.0,1.96,0.5,1.85,2.16
104,I1,30/03/2025,17:00,Inter,Udinese,1.42,5.1,9.4,1.86,2.1,-1.25,1.92,2.0
105,I1,30/03/2025,19:45,Napoli,Milan,2.04,3.7,4.1,2.04,1.92,-0.5,2.04,1.94
115,I2,30/03/2025,14:00,Carrarese,Bari,2.48,2.42,3.0,2.1,1.58,-0.25,2.1,1.73
116,I2,30/03/2025,14:00,Cesena,Juve Stabia,2.36,2.52,2.88,2.3,1.47,-0.25,1.98,1.72
117,I2,30/03/2025,16:15,Salernitana,Palermo,2.38,2.1,2.7,2.06,1.63,0.0,1.76,1.83
123,N1,30/03/2025,11:15,Utrecht,Heerenveen,1.84,1.2,4.7,1.67,1.92,-0.75,2.02,1.81
124,N1,30/03/2025,13:30,Heracles,Twente,4.4,3.8,1.83,1.34,1.92,0.5,2.14,1.83
125,N1,30/03/2025,13:30,PSV Eindhoven,Ajax,1.71,4.5,4.8,1.53,2.62,-0.75,1.87,2.04
126,N1,30/03/2025,15:45,Feyenoord,Go Ahead Eagles,1.46,5.6,6.6,1.5,2.72,-1.25,1.97,1.93
131,P1,30/03/2025,15:30,Famalicao,AFS,1.8,3.5,5.6,2.32,1.64,-0.75,0.0,0.0
132,P1,30/03/2025,15:30,Santa Clara,Nacional,1.94,3.15,4.9,2.36,1.46,-0.5,0.0,0.0
133,P1,30/03/2025,18:00,Estoril,Porto,6.8,4.5,1.53,1.86,1.74,1.0,0.0,0.0
134,P1,30/03/2025,20:30,Moreirense,Guimaraes,4.0,3.2,2.2,2.38,1.52,0.25,0.0,0.0
140,SC0,30/03/2025,14:30,Ross County,Dundee United,2.78,2.9,2.34,2.16,1.56,0.0,1.91,1.76
158,SP1,30/03/2025,13:00,Getafe,Villarreal,3.55,3.2,2.38,2.46,1.64,0.25,1.94,2.02
159,SP1,30/03/2025,15:15,Barcelona,Girona,1.26,7.6,12.5,1.36,3.55,-2.0,2.04,1.84
160,SP1,30/03/2025,17:30,Ath Bilbao,Osasuna,1.48,4.6,8.4,2.0,1.92,-1.0,1.79,2.25
161,SP1,30/03/2025,17:30,Valencia,Mallorca,2.2,3.25,4.0,2.8,1.54,-0.25,1.86,2.11
162,SP1,30/03/2025,20:00,Betis,Sevilla,1.93,3.6,4.7,2.08,1.88,-0.5,1.93,2.06
170,SP2,30/03/2025,13:00,Cordoba,Elche,2.74,3.0,2.82,2.2,1.55,0.0,1.89,1.97
171,SP2,30/03/2025,15:15,Oviedo,Malaga,1.65,3.65,7.2,2.2,1.51,-0.75,1.81,2.04
172,SP2,30/03/2025,17:30,Albacete,Mirandes,2.8,2.92,2.98,2.44,1.58,0.0,1.88,1.92
173,SP2,30/03/2025,17:30,Huesca,Sp Gijon,2.68,2.9,3.1,2.5,1.4,0.0,1.75,2.05
