,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
1,B1,21/02/2025,19:45,Mechelen,St Truiden,1.85,4.1,4.4,1.62,2.52,-0.75,2.07,1.87
9,D1,21/02/2025,19:30,Freiburg,Werder Bremen,2.12,3.55,4.0,1.99,1.99,-0.5,2.12,1.88
18,D2,21/02/2025,17:30,Hamburg,Kaiserslautern,1.67,4.3,5.8,1.53,2.82,-1.0,2.11,1.87
19,D2,21/02/2025,17:30,Hertha,Nurnberg,2.18,3.8,3.5,1.65,2.5,-0.25,1.89,2.08
27,E0,21/02/2025,20:00,Leicester,Brentford,3.9,4.0,2.0,1.64,2.56,0.5,1.98,2.0
37,E1,21/02/2025,19:45,Bristol City,Middlesbrough,2.44,3.6,3.15,1.98,2.0,-0.25,2.1,1.89
38,E1,21/02/2025,20:00,Burnley,Sheffield Weds,1.87,3.45,5.5,2.52,1.64,-0.5,1.87,2.13
85,F1,21/02/2025,19:45,Rennes,Reims,2.2,3.55,3.7,2.04,1.93,-0.25,1.89,2.09
94,F2,21/02/2025,19:00,Bastia,Red Star,1.79,3.7,5.4,2.22,1.78,-0.75,2.03,1.91
95,F2,21/02/2025,19:00,Dunkerque,Clermont,1.95,3.45,4.8,2.3,1.73,-0.5,1.95,2.02
96,F2,21/02/2025,19:00,Grenoble,Guingamp,3.25,3.25,2.5,2.24,1.76,0.25,1.85,2.12
97,F2,21/02/2025,19:00,Martigues,Annecy,3.75,3.45,2.22,2.18,1.8,0.25,2.07,1.89
98,F2,21/02/2025,19:00,Paris FC,Troyes,1.84,3.5,5.6,2.32,1.73,-0.75,2.09,1.87
99,F2,21/02/2025,19:00,Rodez,Amiens,1.74,4.1,5.1,1.82,2.2,-0.75,1.93,2.01
110,I1,21/02/2025,19:45,Lecce,Udinese,3.15,3.2,2.68,2.42,1.69,0.0,2.17,1.84
120,I2,21/02/2025,19:30,Sampdoria,Sassuolo,3.55,3.2,2.44,2.22,1.79,0.25,1.92,2.06
134,P1,21/02/2025,20:15,Sp Braga,Nacional,1.59,4.4,6.6,1.82,2.18,-1.0,2.03,1.94
149,SC1,21/02/2025,19:45,Morton,Falkirk,7.2,3.85,1.6,2.18,1.74,1.0,1.8,2.05
164,SP1,21/02/2025,20:00,Celta,Osasuna,1.74,3.95,5.7,2.02,1.95,-0.75,1.94,2.03
174,SP2,21/02/2025,19:30,Malaga,Tenerife,2.46,3.05,3.6,2.86,1.52,-0.25,2.09,1.88
185,T1,21/02/2025,17:00,Bodrumspor,Hatayspor,1.73,3.85,6.0,2.14,1.86,-0.75,1.93,2.03
186,T1,21/02/2025,17:00,Eyupspor,Besiktas,3.35,3.55,2.36,2.0,1.96,0.25,1.95,2.02
