,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
2,B1,05/04/2025,15:00,Cercle Brugge,Beerschot VA,1.5,4.4,7.6,1.92,1.94,-1.0,1.81,2.08
3,B1,05/04/2025,17:15,Westerlo,Oud-Heverlee Leuven,1.05,3.2,1.09,1.17,1.22,-0.5,1.05,1.87
4,B1,05/04/2025,19:45,Gent,St. Gilloise,4.3,4.0,1.78,1.63,2.06,0.75,1.83,1.94
10,D1,05/04/2025,14:30,Bochum,Stuttgart,3.3,3.9,2.22,1.61,2.56,0.25,2.2,1.93
11,D1,05/04/2025,14:30,Freiburg,Dortmund,3.2,3.7,2.36,1.83,2.14,0.25,1.94,2.04
12,D1,05/04/2025,14:30,Heidenheim,Leverkusen,7.4,5.0,1.49,1.67,2.42,1.25,1.92,2.02
13,D1,05/04/2025,14:30,Mainz,Holstein Kiel,1.48,4.9,8.0,1.66,2.4,-1.25,2.02,1.93
14,D1,05/04/2025,14:30,RB Leipzig,Hoffenheim,1.56,4.7,6.6,1.57,2.66,-1.0,1.88,2.08
15,D1,05/04/2025,17:30,Werder Bremen,Ein Frankfurt,2.8,3.85,2.58,1.58,2.66,0.0,2.07,1.9
20,D2,05/04/2025,12:00,Darmstadt,Greuther Furth,1.93,3.7,4.3,1.79,2.14,-0.5,1.93,2.01
21,D2,05/04/2025,12:00,Fortuna Dusseldorf,Preußen Münster,2.06,3.6,4.1,1.87,2.02,-0.5,2.06,1.92
22,D2,05/04/2025,12:00,Nurnberg,Hamburg,3.35,3.9,2.2,1.63,2.38,0.25,2.06,1.91
23,D2,05/04/2025,19:30,FC Koln,Hertha,2.1,3.7,3.8,1.87,2.04,-0.25,1.81,2.17
27,E0,05/04/2025,12:30,Everton,Arsenal,5.8,3.5,1.84,2.44,1.68,0.75,1.89,2.11
28,E0,05/04/2025,15:00,Crystal Palace,Brighton,2.5,3.6,3.05,1.83,2.18,-0.25,2.15,1.85
29,E0,05/04/2025,15:00,Ipswich,Wolves,2.84,3.4,2.76,2.2,1.81,0.0,2.02,1.96
30,E0,05/04/2025,15:00,West Ham,Bournemouth,3.1,3.6,2.48,1.86,2.12,0.25,1.86,2.13
31,E0,05/04/2025,17:30,Aston Villa,Nott'm Forest,2.04,3.75,3.95,1.89,2.1,-0.5,2.05,1.94
38,E1,05/04/2025,12:30,Coventry,Burnley,3.2,3.25,2.56,2.3,1.68,0.25,1.82,2.16
39,E1,05/04/2025,12:30,Luton,Leeds,6.2,4.2,1.65,2.02,1.88,1.0,1.82,2.12
40,E1,05/04/2025,12:30,West Brom,Sunderland,2.58,3.35,3.15,2.18,1.73,-0.25,2.19,1.82
41,E1,05/04/2025,15:00,Bristol City,Watford,1.86,3.65,4.8,2.08,1.83,-0.75,2.14,1.83
42,E1,05/04/2025,15:00,Millwall,Portsmouth,2.4,3.1,3.7,2.52,1.45,-0.25,2.02,1.95
43,E1,05/04/2025,15:00,Oxford,Sheffield United,4.9,3.65,1.88,2.2,1.75,0.5,2.12,1.88
44,E1,05/04/2025,15:00,Plymouth,Norwich,4.6,3.9,1.88,1.93,1.98,0.5,2.12,1.88
45,E1,05/04/2025,15:00,Preston,Stoke,2.5,3.4,3.2,2.38,1.56,-0.25,2.13,1.85
46,E1,05/04/2025,15:00,QPR,Cardiff,2.36,3.3,3.55,2.32,1.67,-0.25,2.0,1.97
47,E1,05/04/2025,15:00,Sheffield Weds,Hull,2.12,3.55,3.95,2.16,1.75,-0.5,2.12,1.87
48,E1,05/04/2025,15:00,Swansea,Derby,2.1,3.3,4.3,2.46,1.62,-0.5,2.12,1.86
49,E2,05/04/2025,12:30,Reading,Wycombe,3.9,3.65,1.98,1.96,1.88,0.5,1.92,2.0
50,E2,05/04/2025,12:30,Wrexham,Burton,1.63,3.9,6.0,2.0,1.85,-1.0,2.09,1.77
51,E2,05/04/2025,15:00,Birmingham,Barnsley,1.39,5.2,8.6,1.63,2.26,-1.5,1.89,1.71
52,E2,05/04/2025,15:00,Bolton,Bristol Rvs,1.42,4.8,7.8,1.57,2.56,-1.25,1.78,1.86
53,E2,05/04/2025,15:00,Charlton,Lincoln,1.77,3.5,5.4,2.28,1.65,-0.75,2.01,1.89
54,E2,05/04/2025,15:00,Exeter,Stockport,4.0,3.35,2.06,2.42,1.58,0.5,1.9,2.06
55,E2,05/04/2025,15:00,Huddersfield,Mansfield,1.88,3.75,4.5,1.86,1.96,-0.5,1.88,2.11
