,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
4,B1,20/04/2025,12:30,Anderlecht,Antwerp,1.04,1.91,1.92,0.0,0.0,-0.5,0.0,0.0
5,B1,20/04/2025,15:00,Genk,St. Gilloise,1.04,1.01,1.04,0.0,0.0,0.0,0.0,0.0
6,B1,20/04/2025,17:30,Gent,Club Brugge,4.0,3.2,1.21,0.0,0.0,1.0,0.0,0.0
13,D1,20/04/2025,14:30,Augsburg,Ein Frankfurt,2.62,3.5,2.9,1.85,1.86,0.0,1.89,2.08
14,D1,20/04/2025,16:30,Dortmund,M'gladbach,1.43,5.6,6.8,1.35,2.96,-1.25,1.79,1.94
15,D1,20/04/2025,18:30,St Pauli,Leverkusen,4.7,3.95,1.62,1.93,1.79,0.75,2.0,1.79
20,D2,20/04/2025,12:30,Darmstadt,Hannover,1.35,1.1,1.35,0.0,0.0,-0.25,0.0,0.0
21,D2,20/04/2025,12:30,FC Koln,Preußen Münster,1.04,1.1,1.04,0.0,0.0,-1.0,0.0,0.0
22,D2,20/04/2025,12:30,Karlsruhe,Greuther Furth,1.33,1.1,1.33,0.0,0.0,-0.25,0.0,0.0
23,D2,20/04/2025,12:30,Magdeburg,Regensburg,1.04,1.8,1.8,0.0,0.0,-1.5,0.0,0.0
24,D2,20/04/2025,12:30,Ulm,Hertha,1.75,1.1,1.04,0.0,0.0,0.25,0.0,0.0
30,E0,20/04/2025,14:00,Fulham,Chelsea,2.98,3.65,2.52,1.79,1.94,0.25,1.83,2.18
31,E0,20/04/2025,14:00,Ipswich,Arsenal,9.2,5.0,1.44,1.79,2.22,1.25,1.89,1.85
32,E0,20/04/2025,14:00,Man United,Wolves,2.1,3.65,3.9,2.04,1.94,-0.5,2.1,1.88
33,E0,20/04/2025,16:30,Leicester,Liverpool,13.5,7.2,1.26,1.49,2.92,1.75,2.12,1.75
87,F1,20/04/2025,14:00,Lille,Auxerre,1.52,4.5,7.0,1.85,1.32,-1.0,1.81,1.97
88,F1,20/04/2025,16:15,Brest,Lens,2.26,3.15,3.05,1.83,1.88,-0.25,2.04,1.86
89,F1,20/04/2025,16:15,Nice,Angers,1.35,4.4,7.0,1.7,2.04,-1.25,1.78,1.92
90,F1,20/04/2025,16:15,Reims,Toulouse,3.05,2.98,2.18,1.97,1.76,0.25,1.82,1.86
91,F1,20/04/2025,19:45,St Etienne,Lyon,5.4,4.7,1.64,1.43,2.62,1.0,1.9,1.94
104,I1,20/04/2025,14:00,Empoli,Venezia,2.24,3.1,3.5,2.28,1.56,-0.25,1.89,1.89
105,I1,20/04/2025,17:00,Bologna,Inter,3.55,3.2,2.26,2.14,1.63,0.25,1.94,1.92
106,I1,20/04/2025,19:45,Milan,Atalanta,2.72,3.55,2.82,1.64,2.12,0.0,1.95,2.02
122,N1,20/04/2025,11:15,Utrecht,Ajax,3.55,3.8,1.53,0.0,0.0,0.25,0.0,0.0
152,SP1,20/04/2025,13:00,Valladolid,Osasuna,4.9,3.15,1.87,2.0,1.72,0.5,2.03,1.87
153,SP1,20/04/2025,15:15,Villarreal,Sociedad,1.72,3.95,5.6,1.9,1.81,-0.75,1.89,2.01
154,SP1,20/04/2025,17:30,Sevilla,Alaves,2.14,3.1,4.3,2.6,1.44,-0.5,2.14,1.84
155,SP1,20/04/2025,20:00,Real Madrid,Ath Bilbao,1.71,3.85,5.5,1.81,2.18,-0.75,1.86,2.02
163,SP2,20/04/2025,13:00,Cartagena,Granada,1.11,1.11,1.04,0.0,0.0,1.0,0.0,0.0
164,SP2,20/04/2025,15:15,Cordoba,Oviedo,1.12,1.13,1.13,0.0,0.0,-0.25,0.0,0.0
165,SP2,20/04/2025,17:30,Elche,Albacete,1.04,1.01,1.04,0.0,0.0,-1.0,0.0,0.0
166,SP2,20/04/2025,20:00,La Coruna,Tenerife,1.04,1.01,1.04,0.0,0.0,-0.5,0.0,0.0
173,T1,20/04/2025,11:30,Buyuksehyr,Gaziantep,1.04,1.09,1.09,0.0,0.0,-0.75,0.0,0.0
174,T1,20/04/2025,14:00,Rizespor,Eyupspor,1.37,3.2,1.72,0.0,0.0,-0.25,0.0,0.0
175,T1,20/04/2025,17:00,Fenerbahce,Kayserispor,1.18,6.0,6.0,0.0,0.0,-2.0,0.0,0.0
