,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
5,B1,01/02/2026,12:30,Standard,Anderlecht,3.75,3.2,2.2,2.16,1.74,0.25,2.04,1.89
6,B1,01/02/2026,15:00,Dender,Genk,4.0,3.6,2.06,1.93,1.95,0.5,1.9,2.06
7,B1,01/02/2026,17:30,St. Gilloise,Club Brugge,2.2,3.35,3.55,1.92,1.95,-0.25,0.0,0.0
8,B1,01/02/2026,18:15,Oud-Heverlee Leuven,Mechelen,2.06,3.3,4.2,1.87,1.87,-0.25,0.0,0.0
16,D1,01/02/2026,14:30,Stuttgart,Freiburg,1.73,4.2,5.1,1.66,2.44,-0.75,1.92,2.06
17,D1,01/02/2026,16:30,Dortmund,Heidenheim,1.25,7.0,14.0,1.47,2.96,-1.75,1.88,2.07
24,D2,01/02/2026,12:30,Dresden,Bielefeld,2.52,3.4,2.96,1.9,1.91,0.0,1.81,2.1
25,D2,01/02/2026,12:30,Fortuna Dusseldorf,Paderborn,3.25,3.7,2.26,1.72,2.22,0.25,1.95,1.95
26,D2,01/02/2026,12:30,Hertha,Darmstadt,2.3,3.6,3.15,1.78,2.12,-0.25,1.98,1.92
32,E0,01/02/2026,14:00,Aston Villa,Brentford,2.16,3.65,3.65,1.88,2.1,-0.25,1.86,2.12
33,E0,01/02/2026,14:00,Man United,Fulham,1.62,4.7,5.8,1.72,2.36,-1.0,2.04,1.92
34,E0,01/02/2026,14:00,Nott'm Forest,Crystal Palace,2.02,3.65,4.1,2.14,1.86,-0.5,2.03,1.96
35,E0,01/02/2026,16:30,Tottenham,Man City,4.8,4.3,1.77,1.68,2.42,0.75,2.01,1.97
83,F1,01/02/2026,14:00,Lyon,Lille,2.02,3.75,4.1,1.9,2.04,-0.5,2.02,1.96
84,F1,01/02/2026,16:15,Angers,Metz,2.18,3.5,3.75,2.16,1.8,-0.25,1.87,2.11
85,F1,01/02/2026,16:15,Nice,Brest,2.18,3.5,3.75,1.87,2.04,-0.25,1.87,2.11
86,F1,01/02/2026,16:15,Toulouse,Auxerre,1.78,3.7,5.5,2.3,1.72,-0.75,2.04,1.91
87,F1,01/02/2026,19:45,Strasbourg,Paris SG,5.5,4.5,1.64,1.58,2.58,1.0,1.9,2.04
100,G1,01/02/2026,14:00,Levadeiakos,Asteras Tripolis,1.59,3.95,6.4,1.96,1.85,-1.0,1.9,1.73
101,G1,01/02/2026,15:30,Panathinaikos,Kifisia,1.33,5.1,11.0,1.76,2.06,-1.5,0.0,0.0
102,G1,01/02/2026,17:30,PAOK,Panserraikos,1.06,19.0,55.0,1.36,3.35,-2.75,0.0,0.0
103,G1,01/02/2026,19:00,AEK,Olympiakos,2.72,3.2,2.7,1.01,1.05,0.0,0.0,0.0
108,I1,01/02/2026,11:30,Torino,Lecce,2.06,3.15,4.8,2.72,1.56,-0.5,2.06,1.91
109,I1,01/02/2026,14:00,Como,Atalanta,2.48,3.35,3.25,2.0,1.95,-0.25,2.12,1.88
110,I1,01/02/2026,17:00,Cremonese,Inter,12.0,6.0,1.32,1.72,2.32,1.5,2.02,1.94
111,I1,01/02/2026,19:45,Parma,Juventus,8.0,4.7,1.48,2.06,1.87,1.0,2.15,1.82
121,I2,01/02/2026,14:00,Reggiana,Juve Stabia,3.5,3.05,2.34,2.56,1.57,0.25,1.89,1.96
122,I2,01/02/2026,16:15,Padova,Monza,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
127,N1,01/02/2026,11:15,Excelsior,Ajax,4.5,4.0,1.81,1.47,2.48,0.5,2.17,1.81
128,N1,01/02/2026,13:30,Heracles,For Sittard,2.46,3.6,2.98,1.81,2.1,-0.25,2.12,1.81
129,N1,01/02/2026,13:30,PSV Eindhoven,Feyenoord,1.75,4.6,4.5,1.43,2.96,-0.75,1.92,2.02
130,N1,01/02/2026,15:45,Heerenveen,Utrecht,1.91,3.9,4.2,1.61,2.26,-0.5,0.0,0.0
131,N1,01/02/2026,19:00,Volendam,Go Ahead Eagles,3.3,3.65,2.28,1.62,2.4,0.25,0.0,0.0
136,P1,01/02/2026,15:30,Gil Vicente,Famalicao,2.8,3.05,2.84,2.32,1.65,0.0,0.0,0.0
137,P1,01/02/2026,18:00,Sp Lisbon,Nacional,1.14,9.8,23.0,1.31,3.2,-2.25,0.0,0.0
138,P1,01/02/2026,20:30,Tondela,Benfica,16.0,7.0,1.22,1.63,2.14,1.75,0.0,0.0
145,SC0,01/02/2026,14:00,Hibernian,Rangers,3.45,3.65,2.22,1.86,2.04,0.25,2.05,1.91
146,SC0,01/02/2026,15:00,Celtic,Falkirk,1.34,5.9,9.6,1.5,2.66,-1.5,1.84,2.0
167,SP1,01/02/2026,13:00,Real Madrid,Vallecano,1.28,6.6,13.0,1.52,2.82,-1.75,1.96,1.98
168,SP1,01/02/2026,15:15,Betis,Valencia,1.91,3.65,4.6,1.98,2.0,-0.5,1.91,2.08
169,SP1,01/02/2026,17:30,Getafe,Celta,3.0,2.98,2.96,3.15,1.45,0.0,2.0,1.97
170,SP1,01/02/2026,20:00,Ath Bilbao,Sociedad,2.44,3.15,3.6,2.32,1.72,-0.25,2.05,1.94
177,SP2,01/02/2026,13:00,Almeria,Ceuta,1.76,3.9,4.7,1.78,2.06,-0.75,1.96,1.87
178,SP2,01/02/2026,15:15,Eibar,Sp Gijon,2.3,3.1,3.65,2.5,1.57,-0.25,0.0,0.0
179,SP2,01/02/2026,17:30,Castellon,Andorra,1.49,4.7,6.6,1.63,2.4,-1.0,0.0,0.0
180,SP2,01/02/2026,17:30,Huesca,Cadiz,2.36,2.98,3.5,2.56,1.48,-0.25,0.0,0.0
181,SP2,01/02/2026,20:00,Granada,Santander,2.46,3.45,2.86,1.85,2.02,-0.25,0.0,0.0
189,T1,01/02/2026,14:00,Genclerbirligi,Gaziantep,2.26,3.3,3.55,1.86,1.92,-0.25,1.93,1.97
190,T1,01/02/2026,17:00,Galatasaray,Kayserispor,1.15,9.8,18.5,1.3,3.35,-2.25,0.0,0.0
