,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
1,E2,22/03/2025,15:00,Barnsley,Cambridge,1.78,4.0,5.0,1.74,2.1,-0.75,1.97,1.97
2,E2,22/03/2025,15:00,Crawley Town,Bristol Rvs,2.12,3.65,3.65,1.72,2.02,-0.5,2.12,1.86
3,E2,22/03/2025,15:00,Lincoln,Exeter,1.82,3.55,5.3,2.26,1.67,-0.75,2.07,1.86
4,E2,22/03/2025,15:00,Northampton,Blackpool,3.25,3.35,2.5,2.1,1.8,0.25,1.87,2.13
5,E2,22/03/2025,15:00,Peterboro,Charlton,3.2,3.45,2.48,1.89,1.96,0.25,1.88,2.12
6,E2,22/03/2025,15:00,Wrexham,Stockport,2.58,3.15,3.2,2.58,1.53,-0.25,2.19,1.8
7,E3,22/03/2025,12:30,Notts County,Crewe,1.95,3.6,3.9,2.0,1.96,-0.5,1.95,1.91
8,E3,22/03/2025,15:00,AFC Wimbledon,Barrow,2.02,3.4,4.2,2.54,1.54,-0.5,2.02,1.92
9,E3,22/03/2025,15:00,Bradford,Colchester,2.2,3.05,3.8,2.78,1.46,-0.25,1.86,2.0
10,E3,22/03/2025,15:00,Carlisle,Bromley,2.3,3.3,3.45,1.9,1.77,-0.25,1.98,1.94
11,E3,22/03/2025,15:00,Cheltenham,Milton Keynes Dons,2.3,3.55,3.3,1.95,1.88,-0.25,1.99,1.96
12,E3,22/03/2025,15:00,Chesterfield,Harrogate,1.65,3.75,6.0,2.16,1.72,-0.75,1.84,2.03
13,E3,22/03/2025,15:00,Fleetwood Town,Tranmere,2.02,3.35,4.2,2.14,1.73,-0.5,2.02,1.94
14,E3,22/03/2025,15:00,Gillingham,Walsall,3.25,3.25,2.44,2.32,1.61,0.25,1.87,2.07
15,E3,22/03/2025,15:00,Grimsby,Newport County,1.46,4.8,7.2,1.67,2.12,-1.25,2.02,1.82
16,E3,22/03/2025,15:00,Port Vale,Morecambe,1.61,4.0,6.4,2.12,1.73,-1.0,2.07,1.84
17,E3,22/03/2025,15:00,Swindon,Accrington,1.96,3.7,4.2,1.96,1.88,-0.5,1.96,1.96
18,EC,22/03/2025,12:30,Sutton,Dag and Red,1.83,3.8,4.1,1.71,2.02,-0.5,1.83,2.03
19,EC,22/03/2025,15:00,Aldershot,Ebbsfleet,1.54,4.5,6.2,1.71,2.14,-1.25,2.09,1.76
20,EC,22/03/2025,15:00,Braintree Town,York,4.7,3.4,1.78,2.1,1.75,0.5,2.08,1.78
21,EC,22/03/2025,15:00,Eastleigh,Southend,3.4,3.5,2.26,2.12,1.71,0.25,1.97,1.97
22,EC,22/03/2025,15:00,Fylde,Forest Green,4.4,3.95,1.75,1.76,1.98,0.75,1.89,1.96
23,EC,22/03/2025,15:00,Gateshead,Tamworth,2.14,3.9,3.55,1.64,2.26,-0.5,2.14,1.86
24,EC,22/03/2025,15:00,Hartlepool,Boston Utd,2.06,3.8,3.7,1.99,1.83,-0.5,2.06,1.9
25,EC,22/03/2025,15:00,Maidenhead,Rochdale,3.9,3.5,1.9,1.9,1.9,0.5,1.92,1.9
26,EC,22/03/2025,15:00,Oldham,Halifax,2.1,3.25,3.8,2.28,1.63,-0.5,2.1,1.83
27,EC,22/03/2025,15:00,Solihull,Yeovil,1.92,3.5,4.5,2.14,1.7,-0.5,1.92,2.01
28,EC,22/03/2025,15:00,Wealdstone,Woking,2.52,3.15,2.84,2.1,1.73,0.0,1.8,2.03
29,EC,22/03/2025,17:30,Altrincham,Barnet,4.6,4.1,1.67,1.66,2.2,0.75,1.98,1.85
31,SC1,22/03/2025,15:00,Ayr,Hamilton,1.66,3.9,5.4,1.73,1.45,-0.75,1.8,1.96
32,SC1,22/03/2025,15:00,Falkirk,Airdrie Utd,1.23,6.0,10.5,1.39,2.84,-1.75,1.74,2.02
33,SC1,22/03/2025,15:00,Morton,Queens Park,2.48,3.25,3.0,2.26,1.65,0.0,1.74,2.12
34,SC2,22/03/2025,15:00,Dumbarton,Queen of Sth,3.35,3.25,1.92,1.79,2.02,0.5,1.9,1.92
35,SC2,22/03/2025,15:00,Inverness C,Alloa,1.75,3.15,4.1,1.89,1.89,-0.75,2.0,1.83
36,SC2,22/03/2025,15:00,Kelty Hearts,Arbroath,4.6,3.7,1.76,1.79,1.93,0.75,2.0,1.88
37,SC2,22/03/2025,15:00,Montrose,Annan Athletic,2.06,3.5,3.45,1.77,1.94,-0.5,2.06,1.83
38,SC2,22/03/2025,17:30,Cove Rangers,Stenhousemuir,2.14,3.6,3.3,1.64,1.93,-0.5,2.14,1.8
39,SC3,22/03/2025,15:00,Clyde,Bonnyrigg Rose,2.1,3.5,3.15,1.84,1.94,-0.25,1.84,1.96
40,SC3,22/03/2025,15:00,Edinburgh City,East Fife,2.94,3.05,2.3,1.75,1.93,0.25,1.8,1.99
41,SC3,22/03/2025,15:00,Spartans,Elgin,2.12,2.84,3.05,1.92,1.64,-0.25,1.84,1.92
42,SC3,22/03/2025,15:00,Stirling,Peterhead,3.85,3.25,1.91,1.86,1.92,0.5,1.89,1.91
43,SC3,22/03/2025,15:00,Stranraer,Forfar,2.54,3.2,2.76,2.06,1.68,0.0,1.85,1.98
45,SP2,22/03/2025,15:15,Elche,Eldense,1.62,3.75,6.4,2.18,1.73,-0.75,1.81,2.09
46,SP2,22/03/2025,17:30,Malaga,Ferrol,1.9,3.15,5.2,2.68,1.51,-0.5,1.91,2.04
47,SP2,22/03/2025,17:30,Mirandes,Santander,2.26,3.3,3.55,2.26,1.7,-0.25,1.96,2.02
48,SP2,22/03/2025,20:00,Granada,Oviedo,2.36,2.96,3.65,2.72,1.51,-0.25,1.98,1.92
