,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
1,B1,07/03/2025,19:45,St Truiden,Beerschot VA,1.67,4.4,5.5,1.73,2.2,-1.0,2.09,1.85
9,D1,07/03/2025,19:30,M'gladbach,Mainz,2.74,3.55,2.82,1.86,2.12,0.0,1.96,2.02
18,D2,07/03/2025,17:30,Darmstadt,Karlsruhe,2.08,3.75,3.7,1.81,2.12,-0.5,2.08,1.86
19,D2,07/03/2025,17:30,Kaiserslautern,Elversberg,2.52,3.8,2.72,1.58,2.6,0.0,1.87,2.01
37,E1,07/03/2025,20:00,Norwich,Oxford,1.64,4.2,6.4,1.97,1.98,-1.0,2.09,1.87
85,F1,07/03/2025,19:45,Toulouse,Monaco,3.35,3.7,2.2,1.79,2.22,0.25,2.03,1.95
94,F2,07/03/2025,19:00,Bastia,Martigues,1.43,4.4,8.8,1.95,1.46,-1.25,1.94,1.84
95,F2,07/03/2025,19:00,Caen,Laval,2.1,3.3,4.0,2.08,1.58,-0.5,2.1,1.85
96,F2,07/03/2025,19:00,Grenoble,Ajaccio,2.26,3.2,3.65,2.46,1.58,-0.25,1.91,1.97
97,F2,07/03/2025,19:00,Guingamp,Clermont,1.86,3.5,4.6,1.47,1.43,-0.5,1.86,2.08
98,F2,07/03/2025,19:00,Pau FC,Troyes,2.48,3.25,3.0,2.06,1.81,-0.25,2.13,1.84
99,F2,07/03/2025,19:00,Red Star,Amiens,1.95,3.55,4.3,2.02,1.83,-0.5,1.95,2.01
110,I1,07/03/2025,19:45,Cagliari,Genoa,2.56,3.1,3.4,2.6,1.61,-0.25,2.15,1.85
120,I2,07/03/2025,19:30,Cosenza,Reggiana,2.84,2.94,2.98,2.72,1.54,0.0,1.92,2.01
130,N1,07/03/2025,19:00,NAC Breda,Sparta Rotterdam,2.86,3.4,2.76,1.96,1.97,0.0,2.03,1.93
137,P1,07/03/2025,20:15,Estrela,Gil Vicente,2.74,3.1,2.94,2.66,1.57,0.0,1.89,2.02
169,SP2,07/03/2025,18:00,Eibar,Almeria,2.68,3.2,2.86,2.08,1.86,0.0,1.88,2.0
170,SP2,07/03/2025,20:00,La Coruna,Cordoba,2.12,3.5,3.9,2.08,1.86,-0.5,2.12,1.84
180,T1,07/03/2025,17:30,Bodrumspor,Kasimpasa,2.3,3.4,3.4,2.0,1.9,-0.25,1.96,1.99
