,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
36,E0,03/02/2025,20:00,Chelsea,West Ham,1.39,6.0,8.6,1.43,2.94,-1.5,1.88,2.0
48,E1,03/02/2025,20:00,Middlesbrough,Sunderland,2.48,3.45,3.1,1.06,1.23,-0.25,2.14,1.84
103,G1,03/02/2025,16:00,Asteras Tripolis,Lamia,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.0
113,I1,03/02/2025,19:45,Cagliari,Lazio,4.0,3.65,2.02,1.85,1.87,0.5,1.93,2.02
140,P1,03/02/2025,18:45,Moreirense,Sp Braga,4.3,3.6,1.85,0.0,0.0,0.5,0.0,0.0
141,P1,03/02/2025,20:45,Rio Ave,Porto,6.0,4.7,1.05,0.0,0.0,1.25,0.0,0.0
172,SP1,03/02/2025,20:00,Girona,Las Palmas,1.67,4.2,5.8,1.8,1.98,-0.75,1.81,2.09
183,SP2,03/02/2025,19:30,Levante,Ferrol,1.1,1.12,1.13,0.0,0.0,-1.25,0.0,0.0
192,T1,03/02/2025,17:00,Gaziantep,Galatasaray,6.0,4.2,1.32,0.0,0.0,1.25,0.0,0.0
