,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
1,E0,03/01/2026,12:30,Aston Villa,Nott'm Forest,1.8,3.95,5.0,1.88,2.1,-0.75,2.02,1.94
2,E0,03/01/2026,15:00,Brighton,Burnley,1.51,4.7,7.4,1.76,2.26,-1.0,1.81,2.18
3,E0,03/01/2026,15:00,Wolves,West Ham,2.62,3.45,2.98,2.04,1.93,0.0,1.87,2.12
4,E0,03/01/2026,17:30,Bournemouth,Arsenal,6.6,5.1,1.53,1.7,2.38,1.25,1.82,2.2
47,EC,03/01/2026,15:00,Aldershot,Solihull,2.36,3.75,2.68,1.56,2.44,0.0,1.79,2.04
48,EC,03/01/2026,15:00,Altrincham,Morecambe,2.1,3.8,3.25,1.68,2.18,-0.5,2.1,1.79
49,EC,03/01/2026,15:00,Boreham Wood,York,2.52,3.85,2.64,1.57,2.42,0.0,1.87,2.0
50,EC,03/01/2026,15:00,Boston Utd,Eastleigh,2.32,3.2,3.0,2.0,1.79,-0.25,2.0,1.82
51,EC,03/01/2026,15:00,Carlisle,Wealdstone,1.45,4.3,5.3,1.41,2.38,-1.25,0.0,0.0
52,EC,03/01/2026,15:00,Forest Green,Halifax,1.34,5.3,8.6,1.63,2.32,-1.25,1.79,1.96
53,EC,03/01/2026,15:00,Rochdale,Brackley Town,1.41,4.8,8.8,1.71,2.14,-1.25,0.0,0.0
54,EC,03/01/2026,15:00,Scunthorpe,Sutton,1.72,4.0,4.5,1.64,2.26,-0.75,1.9,1.91
55,EC,03/01/2026,15:00,Southend,Truro,1.32,5.5,11.5,1.63,2.28,-1.5,1.8,1.84
56,EC,03/01/2026,15:00,Tamworth,Gateshead,1.72,3.95,4.2,1.52,2.54,-0.75,1.89,1.92
57,EC,03/01/2026,15:00,Woking,Hartlepool,2.56,3.3,2.64,1.76,1.92,0.0,1.78,1.85
58,EC,03/01/2026,17:30,Yeovil,Braintree Town,2.44,3.15,2.92,2.08,1.76,-0.25,2.08,1.73
60,F1,03/01/2026,16:00,Monaco,Lyon,2.14,3.95,3.5,1.68,2.44,-0.25,1.86,2.12
61,F1,03/01/2026,18:00,Nice,Strasbourg,2.8,3.65,2.62,1.85,2.1,0.0,2.06,1.92
62,F1,03/01/2026,20:05,Lille,Rennes,1.93,3.95,4.3,1.73,2.28,-0.5,1.93,2.05
68,F2,03/01/2026,13:00,Troyes,Red Star,1.88,3.35,4.5,2.12,1.73,-0.5,1.88,1.98
69,F2,03/01/2026,19:00,Amiens,Nancy,3.9,3.5,2.02,2.0,1.84,0.5,1.87,2.02
70,F2,03/01/2026,19:00,Bastia,Grenoble,2.18,3.2,3.75,2.14,1.55,-0.25,1.86,2.03
71,F2,03/01/2026,19:00,Clermont,Laval,2.72,3.0,2.96,2.46,1.56,0.0,1.86,1.99
72,F2,03/01/2026,19:00,Guingamp,Boulogne,1.97,3.5,4.2,2.06,1.79,-0.5,1.97,1.94
73,F2,03/01/2026,19:00,Le Mans,St Etienne,3.0,3.5,2.36,1.87,1.97,0.25,1.85,2.05
74,F2,03/01/2026,19:00,Pau FC,Rodez,2.28,3.6,3.2,1.84,2.08,-0.25,1.97,1.98
75,F2,03/01/2026,19:00,Reims,Annecy,1.81,3.55,4.8,2.1,1.75,-0.5,1.81,2.06
78,I1,03/01/2026,11:30,Como,Udinese,1.77,3.85,5.6,2.08,1.89,-0.75,1.99,1.98
79,I1,03/01/2026,14:00,Genoa,Pisa,1.96,3.25,5.3,2.7,1.56,-0.5,1.96,2.02
80,I1,03/01/2026,14:00,Sassuolo,Parma,1.99,3.5,4.7,2.22,1.78,-0.5,1.99,2.0
81,I1,03/01/2026,17:00,Juventus,Lecce,1.29,6.0,14.5,1.88,2.1,-1.5,1.9,2.07
82,I1,03/01/2026,19:45,Atalanta,Roma,2.4,3.25,3.55,2.2,1.81,-0.25,2.03,1.95
89,P1,03/01/2026,15:30,Tondela,Arouca,2.2,3.4,3.75,2.1,1.8,-0.25,1.88,2.06
90,P1,03/01/2026,18:00,Benfica,Estoril,1.23,7.8,14.0,1.52,2.68,-1.75,1.87,2.01
91,P1,03/01/2026,18:00,Estrela,Sp Braga,6.8,4.7,1.54,1.88,2.02,1.0,1.99,1.9
92,P1,03/01/2026,20:30,AVS,Moreirense,3.7,3.25,2.3,1.98,1.25,0.25,1.99,1.94
96,SC0,03/01/2026,12:30,Celtic,Rangers,1.97,4.1,3.8,1.64,2.38,-0.5,1.99,1.98
97,SC0,03/01/2026,15:00,Dundee United,Dundee,1.88,3.9,4.4,1.87,2.02,-0.5,1.88,2.08
98,SC0,03/01/2026,15:00,Falkirk,Aberdeen,2.58,3.45,2.78,1.92,1.94,0.0,1.86,2.01
99,SC0,03/01/2026,15:00,Hearts,Livingston,1.32,5.5,11.0,1.69,2.22,-1.5,2.0,1.94
100,SC0,03/01/2026,15:00,Kilmarnock,Hibernian,4.5,3.6,1.88,1.99,1.87,0.5,2.03,1.88
101,SC0,03/01/2026,15:00,Motherwell,St Mirren,2.06,3.4,4.2,2.12,1.8,-0.5,2.06,1.9
102,SC1,03/01/2026,15:00,Airdrie Utd,Raith Rvs,3.75,3.5,2.14,2.18,1.68,0.5,1.81,2.14
103,SC1,03/01/2026,15:00,Ayr,Queens Park,1.52,4.1,5.7,1.71,1.99,-1.0,1.78,1.83
104,SC1,03/01/2026,15:00,Dunfermline,Ross County,2.08,3.5,3.75,2.06,1.76,-0.25,1.8,2.11
105,SC1,03/01/2026,15:00,Partick,Morton,1.65,3.85,6.0,1.97,1.84,-1.0,2.02,1.7
106,SC1,03/01/2026,15:00,St Johnstone,Arbroath,1.41,4.9,8.0,1.64,2.1,-1.25,1.81,2.04
107,SC2,03/01/2026,15:00,Cove Rangers,Montrose,2.0,3.3,3.25,1.74,1.97,-0.5,2.0,1.79
108,SC2,03/01/2026,15:00,Hamilton,East Fife,2.62,3.65,2.68,1.8,1.86,0.0,1.92,1.98
109,SC2,03/01/2026,15:00,Inverness C,Peterhead,1.23,5.0,8.6,1.49,2.24,-1.5,1.86,1.79
110,SC2,03/01/2026,15:00,Kelty Hearts,Alloa,4.5,3.55,1.78,1.92,1.88,0.75,1.79,2.01
111,SC2,03/01/2026,15:00,Stenhousemuir,Queen of Sth,2.44,3.3,3.05,2.1,1.73,-0.25,2.07,1.81
112,SC3,03/01/2026,15:00,Clyde,Forfar,1.79,3.55,4.3,1.84,1.94,-0.5,1.79,2.01
113,SC3,03/01/2026,15:00,Elgin,East Kilbride,2.5,3.6,2.5,1.63,2.26,0.0,1.82,1.81
114,SC3,03/01/2026,15:00,Spartans,Dumbarton,1.8,3.25,4.2,1.47,1.98,-0.5,1.8,1.87
115,SC3,03/01/2026,15:00,Stirling,Annan Athletic,3.35,3.6,2.0,1.7,2.14,0.25,2.04,1.76
116,SC3,03/01/2026,15:00,Stranraer,Edinburgh City,2.36,3.15,2.76,1.65,2.06,0.0,1.66,1.92
