,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
3,B1,04/10/2025,15:00,Mechelen,St Truiden,2.26,3.6,3.5,1.76,2.12,-0.25,1.95,2.04
4,B1,04/10/2025,17:15,RAAL La Louviere,Waregem,2.42,3.3,3.3,2.0,1.85,-0.25,2.07,1.87
5,B1,04/10/2025,19:45,Antwerp,Cercle Brugge,2.52,3.45,3.05,1.8,2.06,0.0,1.81,2.16
11,D1,04/10/2025,14:30,Augsburg,Wolfsburg,2.9,3.65,2.6,1.78,2.22,0.0,2.1,1.89
12,D1,04/10/2025,14:30,Dortmund,RB Leipzig,1.73,4.7,4.6,1.41,3.25,-0.75,1.89,2.08
13,D1,04/10/2025,14:30,Leverkusen,Union Berlin,1.75,4.1,5.3,1.85,2.12,-0.75,1.95,2.01
14,D1,04/10/2025,14:30,Werder Bremen,St Pauli,2.38,3.7,3.15,1.8,2.18,-0.25,2.06,1.92
15,D1,04/10/2025,17:30,Ein Frankfurt,Bayern Munich,6.8,5.9,1.45,1.31,4.0,1.5,1.87,2.08
21,D2,04/10/2025,12:00,Hertha,Preußen Münster,2.08,3.8,3.7,1.82,2.1,-0.5,2.08,1.87
22,D2,04/10/2025,12:00,Holstein Kiel,Darmstadt,2.52,3.6,2.86,1.77,2.18,0.0,1.85,2.07
23,D2,04/10/2025,12:00,Kaiserslautern,Bochum,2.1,3.95,3.5,1.64,2.4,-0.25,1.85,2.12
24,D2,04/10/2025,19:30,Dresden,Karlsruhe,2.26,3.8,3.2,1.66,2.36,-0.25,1.98,1.96
29,E0,04/10/2025,12:30,Leeds,Tottenham,2.86,3.55,2.68,2.0,1.97,0.0,2.07,1.91
30,E0,04/10/2025,15:00,Arsenal,West Ham,1.22,7.8,17.5,1.59,2.62,-2.0,2.02,1.94
31,E0,04/10/2025,15:00,Man United,Sunderland,1.53,4.9,6.6,1.67,2.46,-1.0,1.88,2.11
32,E0,04/10/2025,17:30,Chelsea,Liverpool,3.0,3.85,2.42,1.57,2.72,0.25,1.89,2.1
39,E1,04/10/2025,12:30,Blackburn,Stoke,2.78,3.25,2.88,2.3,1.73,0.0,1.94,2.01
40,E1,04/10/2025,12:30,Hull,Sheffield United,2.7,3.55,2.8,1.96,1.98,0.0,1.94,2.02
41,E1,04/10/2025,12:30,Sheffield Weds,Coventry,6.6,4.8,1.53,1.71,2.34,1.0,2.11,1.85
42,E1,04/10/2025,15:00,Bristol City,QPR,1.84,4.0,4.7,1.87,2.06,-0.75,2.08,1.89
43,E1,04/10/2025,15:00,Derby,Southampton,3.7,3.5,2.2,2.3,1.71,0.25,2.08,1.88
44,E1,04/10/2025,15:00,Millwall,West Brom,3.0,3.2,2.7,2.48,1.64,0.0,2.12,1.87
45,E1,04/10/2025,15:00,Portsmouth,Middlesbrough,3.2,3.55,2.42,2.06,1.89,0.25,1.9,2.08
46,E1,04/10/2025,15:00,Preston,Charlton,2.66,3.35,3.0,2.4,1.67,0.0,1.86,2.11
47,E1,04/10/2025,15:00,Swansea,Leicester,2.66,3.4,2.9,2.22,1.76,0.0,1.89,2.06
48,E1,04/10/2025,15:00,Watford,Oxford,2.1,3.6,4.0,2.1,1.88,-0.5,2.1,1.89
50,E2,04/10/2025,12:30,Doncaster,Burton,1.74,4.0,5.1,1.93,1.89,-0.75,1.95,1.97
51,E2,04/10/2025,12:30,Wycombe,Barnsley,2.06,3.75,3.65,1.74,2.14,-0.5,2.06,1.87
52,E2,04/10/2025,15:00,Blackpool,AFC Wimbledon,2.24,3.35,3.8,2.16,1.73,-0.5,2.24,1.79
53,E2,04/10/2025,15:00,Bolton,Peterboro,1.53,4.6,6.8,1.66,2.3,-1.25,2.09,1.81
54,E2,04/10/2025,15:00,Cardiff,Leyton Orient,1.73,3.95,4.9,1.78,2.14,-0.75,1.91,1.98
55,E2,04/10/2025,15:00,Huddersfield,Stockport,2.4,3.35,3.3,2.02,1.83,-0.25,2.05,1.92
56,E2,04/10/2025,15:00,Lincoln,Exeter,1.68,3.7,6.0,2.14,1.75,-0.75,1.88,2.08
57,E2,04/10/2025,15:00,Plymouth,Wigan,2.54,3.3,3.05,2.02,1.87,0.0,1.8,2.16
58,E2,04/10/2025,15:00,Port Vale,Northampton,1.78,3.45,4.9,2.32,1.63,-0.5,1.78,2.14
59,E2,04/10/2025,15:00,Reading,Mansfield,2.3,3.4,2.88,1.01,1.87,-0.25,2.08,1.8
60,E2,04/10/2025,15:00,Stevenage,Luton,2.88,3.35,2.76,2.18,1.73,0.0,2.03,1.95
61,E3,04/10/2025,12:30,Milton Keynes Dons,Gillingham,2.12,3.5,3.9,2.12,1.72,-0.5,2.12,1.87
62,E3,04/10/2025,12:30,Newport County,Swindon,4.9,4.0,1.76,1.65,2.26,0.75,1.98,1.95
63,E3,04/10/2025,15:00,Barnet,Accrington,1.66,3.9,6.0,1.81,2.0,-0.75,1.81,2.01
64,E3,04/10/2025,15:00,Barrow,Shrewsbury,2.22,3.3,3.55,2.14,1.75,-0.25,1.91,2.04
65,E3,04/10/2025,15:00,Bromley,Tranmere,1.92,3.7,4.3,1.92,1.9,-0.5,1.92,2.06
66,E3,04/10/2025,15:00,Cambridge,Crawley Town,1.78,3.6,4.7,1.77,1.9,-0.75,2.01,1.84
67,E3,04/10/2025,15:00,Cheltenham,Fleetwood Town,3.25,3.3,2.22,2.2,1.81,0.25,1.92,1.91
68,E3,04/10/2025,15:00,Colchester,Chesterfield,3.1,3.45,2.32,1.81,1.87,0.25,1.89,2.05
69,E3,04/10/2025,15:00,Notts County,Oldham,2.2,3.3,3.35,1.99,1.84,-0.25,1.89,1.95
70,E3,04/10/2025,15:00,Salford,Grimsby,2.38,3.65,3.15,1.6,1.41,-0.25,2.05,1.91
71,E3,04/10/2025,15:00,Walsall,Bristol Rvs,2.14,3.25,3.7,2.0,1.8,-0.25,1.83,2.12
73,EC,04/10/2025,12:30,Gateshead,Boston Utd,2.22,3.5,3.1,1.78,2.04,-0.25,1.93,1.9
74,EC,04/10/2025,12:30,Hartlepool,York,3.65,3.3,1.92,1.72,2.1,0.5,1.87,1.92
75,EC,04/10/2025,15:00,Braintree Town,Sutton,2.5,3.35,2.74,1.84,1.97,0.0,1.82,1.98
76,EC,04/10/2025,15:00,Eastleigh,Solihull,1.95,3.15,3.05,1.78,1.77,-0.5,1.95,1.71
77,EC,04/10/2025,15:00,Forest Green,Rochdale,2.16,3.25,3.15,1.31,1.25,-0.5,2.16,1.69
78,EC,04/10/2025,15:00,Halifax,Brackley Town,2.48,3.15,3.0,2.2,1.67,0.0,1.71,2.11
79,EC,04/10/2025,15:00,Southend,Aldershot,1.47,5.0,6.6,1.43,2.4,-1.25,1.88,1.9
80,EC,04/10/2025,15:00,Tamworth,Morecambe,1.44,4.2,4.9,1.44,2.66,-1.0,0.0,0.0
81,EC,04/10/2025,15:00,Wealdstone,Altrincham,2.18,3.3,2.9,1.55,2.08,0.0,1.64,2.19
82,EC,04/10/2025,15:00,Woking,Truro,2.04,3.2,2.98,1.82,1.73,-0.25,1.76,1.92
83,EC,04/10/2025,15:00,Yeovil,Boreham Wood,3.2,3.45,2.32,1.97,1.82,0.25,1.92,2.01
84,EC,04/10/2025,17:30,Scunthorpe,Carlisle,2.68,3.4,2.72,1.81,1.99,0.0,1.93,1.97
86,F1,04/10/2025,16:00,Metz,Marseille,7.0,4.9,1.5,1.65,2.44,1.25,1.9,2.04
87,F1,04/10/2025,18:00,Brest,Nantes,1.91,3.8,4.4,1.95,1.98,-0.5,1.91,2.06
88,F1,04/10/2025,20:05,Auxerre,Lens,3.85,3.8,2.04,1.88,2.06,0.5,1.94,2.04
100,F2,04/10/2025,13:00,Red Star,Rodez,2.0,3.6,3.9,1.89,1.97,-0.5,2.08,1.9
101,F2,04/10/2025,13:00,Reims,Grenoble,1.6,4.1,6.8,1.87,1.81,-1.0,1.87,1.82
102,F2,04/10/2025,19:00,Montpellier,St Etienne,3.1,3.55,2.24,1.85,1.99,0.25,1.87,1.95
103,G1,04/10/2025,16:00,OFI Crete,Aris,4.1,3.55,1.88,1.95,1.88,0.5,1.96,1.88
104,G1,04/10/2025,16:00,Panserraikos,Asteras Tripolis,3.05,3.25,2.4,2.12,1.56,0.25,1.78,2.04
105,G1,04/10/2025,18:30,Larisa,Volos NFC,2.48,3.15,3.15,1.01,1.64,-0.25,2.09,1.85
