,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
2,B1,29/03/2025,15:00,Beerschot VA,St Truiden,3.3,3.6,2.14,1.66,1.96,0.25,2.0,1.84
3,B1,29/03/2025,17:15,Standard,Mechelen,2.68,3.25,2.82,2.16,1.74,0.0,1.9,1.97
4,B1,29/03/2025,19:45,St. Gilloise,Antwerp,1.61,4.2,5.5,1.75,2.14,-1.0,2.07,1.82
10,D1,29/03/2025,14:30,Bayern Munich,St Pauli,1.16,10.0,22.0,1.47,2.98,-2.25,2.04,1.91
11,D1,29/03/2025,14:30,Hoffenheim,Augsburg,2.48,3.4,3.25,2.2,1.81,-0.25,2.11,1.88
12,D1,29/03/2025,14:30,Holstein Kiel,Werder Bremen,3.5,4.0,2.12,1.65,2.46,0.25,2.13,1.85
13,D1,29/03/2025,14:30,M'gladbach,RB Leipzig,3.0,3.75,2.48,1.57,2.66,0.25,1.85,2.14
14,D1,29/03/2025,14:30,Wolfsburg,Heidenheim,1.7,4.2,5.6,1.86,2.14,-0.75,1.88,2.08
15,D1,29/03/2025,17:30,Ein Frankfurt,Stuttgart,2.66,3.85,2.72,1.55,2.74,0.0,1.97,2.01
20,D2,29/03/2025,12:00,Hannover,Magdeburg,2.4,3.8,2.92,1.65,2.36,-0.25,2.09,1.83
21,D2,29/03/2025,12:00,Hertha,Karlsruhe,1.81,3.9,4.4,1.17,2.36,-0.75,1.98,1.79
22,D2,29/03/2025,12:00,Paderborn,FC Koln,2.34,3.45,3.35,1.94,1.94,-0.25,2.01,1.96
23,D2,29/03/2025,19:30,Kaiserslautern,Fortuna Dusseldorf,2.42,3.8,2.92,1.66,2.38,-0.25,2.1,1.84
28,E1,29/03/2025,12:30,Hull,Luton,2.28,3.4,3.65,2.3,1.68,-0.25,1.94,2.04
29,E1,29/03/2025,12:30,Watford,Plymouth,1.64,4.1,6.4,2.04,1.89,-1.0,2.08,1.83
30,E1,29/03/2025,15:00,Burnley,Bristol City,1.83,3.55,5.7,2.44,1.64,-0.75,2.1,1.87
31,E1,29/03/2025,15:00,Cardiff,Sheffield Weds,2.96,3.35,2.62,2.14,1.77,0.0,2.09,1.85
32,E1,29/03/2025,15:00,Leeds,Swansea,1.26,6.4,15.0,1.75,2.18,-1.75,2.03,1.86
33,E1,29/03/2025,15:00,Middlesbrough,Oxford,1.67,4.1,6.0,1.9,2.02,-1.0,2.14,1.79
34,E1,29/03/2025,15:00,Norwich,West Brom,2.26,3.4,3.5,2.06,1.87,-0.25,1.94,1.99
35,E1,29/03/2025,15:00,Portsmouth,Blackburn,2.4,3.35,3.35,2.22,1.75,-0.25,2.06,1.92
