,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
5,B1,13/04/2025,12:30,Antwerp,Gent,2.02,3.7,3.1,1.74,2.02,-0.5,2.02,1.7
6,B1,13/04/2025,15:00,Mechelen,Oud-Heverlee Leuven,1.75,1.01,3.9,1.66,2.06,-0.75,0.0,0.0
7,B1,13/04/2025,17:30,Club Brugge,Genk,1.72,1.01,1.04,1.54,2.1,-0.75,0.0,0.0
8,B1,13/04/2025,18:15,Dender,Standard,1.04,3.15,1.04,2.2,1.65,-0.25,0.0,0.0
16,D1,13/04/2025,14:30,Stuttgart,Werder Bremen,1.7,4.6,4.9,1.49,2.84,-0.75,1.88,2.11
17,D1,13/04/2025,16:30,Ein Frankfurt,Heidenheim,1.79,4.2,4.7,1.72,2.3,-0.75,2.01,1.96
24,D2,13/04/2025,12:30,Paderborn,Fortuna Dusseldorf,1.77,4.2,4.4,1.6,2.34,-0.75,1.98,1.89
25,D2,13/04/2025,12:30,Preußen Münster,Karlsruhe,2.12,3.4,3.05,1.81,1.5,-0.25,1.85,1.82
26,D2,13/04/2025,12:30,Regensburg,Schalke 04,4.1,3.75,1.99,1.85,2.06,0.5,1.98,1.99
32,E0,13/04/2025,14:00,Chelsea,Ipswich,1.3,6.8,10.5,1.5,2.88,-1.75,1.98,1.94
33,E0,13/04/2025,14:00,Liverpool,West Ham,1.32,6.4,11.0,1.58,2.62,-1.5,1.9,2.05
34,E0,13/04/2025,14:00,Wolves,Tottenham,2.28,3.7,3.35,1.73,2.28,-0.25,1.97,2.0
35,E0,13/04/2025,16:30,Newcastle,Man United,1.67,4.4,5.5,1.7,2.34,-0.75,1.84,2.16
87,F1,13/04/2025,14:00,St Etienne,Brest,3.75,3.6,2.1,1.6,2.18,0.25,2.16,1.81
88,F1,13/04/2025,16:15,Angers,Montpellier,1.98,3.8,4.2,1.91,1.99,-0.5,1.98,2.0
89,F1,13/04/2025,16:15,Le Havre,Rennes,3.7,3.5,2.14,1.87,1.95,0.25,2.1,1.84
90,F1,13/04/2025,19:45,Auxerre,Lyon,3.65,3.65,2.06,1.63,2.38,0.5,1.84,2.06
103,G1,13/04/2025,14:30,Asteras Tripolis,OFI Crete,1.3,3.2,1.61,2.0,1.64,-0.25,0.0,0.0
104,G1,13/04/2025,17:00,Panathinaikos,PAOK,2.16,1.01,1.31,1.89,1.75,-0.25,0.0,0.0
105,G1,13/04/2025,17:30,Aris,Atromitos,1.4,2.68,3.45,2.1,1.56,-0.75,0.0,0.0
106,G1,13/04/2025,19:00,Olympiakos,AEK,1.94,3.4,3.5,2.12,1.59,-0.5,0.0,0.0
111,I1,13/04/2025,11:30,Atalanta,Bologna,2.08,3.65,4.0,2.08,1.87,-0.5,2.08,1.9
112,I1,13/04/2025,14:00,Fiorentina,Parma,1.74,3.85,5.8,1.99,1.95,-0.75,1.94,2.01
113,I1,13/04/2025,14:00,Verona,Genoa,3.15,3.0,2.78,2.84,1.51,0.0,2.11,1.85
114,I1,13/04/2025,17:00,Como,Torino,1.97,3.55,4.6,2.2,1.77,-0.5,1.97,2.01
115,I1,13/04/2025,19:45,Lazio,Roma,3.05,3.2,2.72,2.22,1.75,0.0,2.11,1.87
124,I2,13/04/2025,14:00,Cesena,Frosinone,2.08,2.9,3.6,2.28,1.51,-0.25,0.0,0.0
125,I2,13/04/2025,14:00,Cremonese,Juve Stabia,1.46,2.56,4.9,1.98,1.75,-0.75,0.0,0.0
126,I2,13/04/2025,16:15,Mantova,Spezia,3.95,3.6,1.69,1.75,1.84,0.5,0.0,0.0
132,N1,13/04/2025,11:15,Utrecht,Groningen,1.79,3.9,5.1,1.97,1.95,-0.75,2.01,1.93
133,N1,13/04/2025,13:30,Heracles,AZ Alkmaar,4.2,1.03,1.97,1.77,1.89,0.5,0.0,0.0
134,N1,13/04/2025,13:30,Zwolle,Twente,3.65,3.65,2.1,1.81,2.08,0.5,0.0,0.0
135,N1,13/04/2025,15:45,Willem II,Ajax,9.6,5.2,1.35,1.67,2.1,1.5,0.0,0.0
141,P1,13/04/2025,15:30,Estrela,Farense,2.82,2.96,2.84,2.42,1.49,0.0,0.0,0.0
142,P1,13/04/2025,18:00,Benfica,Arouca,1.18,8.6,18.5,1.41,1.16,-2.0,0.0,0.0
143,P1,13/04/2025,18:00,Sp Braga,AVS,1.38,5.0,9.2,1.78,2.08,-1.25,0.0,0.0
144,P1,13/04/2025,20:30,Moreirense,Rio Ave,2.02,3.3,4.7,2.26,1.67,-0.5,0.0,0.0
149,SC0,13/04/2025,12:00,Aberdeen,Rangers,3.3,4.0,2.08,1.64,2.36,0.5,1.86,2.08
150,SC0,13/04/2025,14:30,Hibernian,Dundee,1.54,4.8,5.8,1.63,2.32,-1.0,0.0,0.0
171,SP1,13/04/2025,13:00,Osasuna,Girona,2.54,3.25,3.25,2.18,1.79,-0.25,2.15,1.85
172,SP1,13/04/2025,15:15,Alaves,Real Madrid,5.7,4.2,1.7,1.77,2.2,0.75,2.13,1.86
