,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
1,E0,10/02/2026,19:30,Chelsea,Leeds,1.57,4.5,6.6,1.67,2.44,-1.0,1.97,2.0
2,E0,10/02/2026,19:30,Everton,Bournemouth,2.56,3.5,3.05,1.91,2.06,0.0,1.82,2.18
3,E0,10/02/2026,19:30,Tottenham,Newcastle,3.35,3.7,2.3,1.77,2.26,0.25,2.0,1.98
4,E0,10/02/2026,20:15,West Ham,Man United,4.8,4.5,1.74,1.53,2.86,0.75,2.05,1.92
11,E1,10/02/2026,19:45,Leicester,Southampton,3.25,3.6,2.34,1.86,2.12,0.25,1.94,2.03
12,E1,10/02/2026,19:45,Oxford,Norwich,3.2,3.4,2.5,2.3,1.75,0.25,1.86,2.13
13,E1,10/02/2026,20:00,Birmingham,West Brom,1.91,3.65,4.7,2.14,1.84,-0.5,1.91,2.07
15,E2,10/02/2026,19:45,Mansfield,Peterboro,2.36,3.7,3.15,1.75,2.26,-0.25,2.04,1.94
16,E2,10/02/2026,19:45,Stevenage,Barnsley,2.08,3.55,4.0,2.22,1.78,-0.5,2.08,1.89
17,E2,10/02/2026,19:45,Wigan,Reading,2.58,3.45,3.0,2.22,1.76,-0.25,2.21,1.79
18,E3,10/02/2026,19:45,Crawley Town,Cambridge,3.5,3.5,2.3,2.16,1.82,0.25,2.0,1.97
19,E3,10/02/2026,19:45,Shrewsbury,Barrow,2.5,3.25,3.15,2.28,1.72,-0.25,2.12,1.83
22,EC,10/02/2026,19:45,Altrincham,Wealdstone,2.18,3.6,3.3,1.83,2.08,-0.25,1.9,1.99
23,EC,10/02/2026,19:45,Boston Utd,Gateshead,1.76,4.0,4.6,1.63,2.46,-0.75,1.95,1.93
24,EC,10/02/2026,19:45,Carlisle,Scunthorpe,2.48,3.5,2.76,1.83,2.08,0.0,1.83,2.06
25,EC,10/02/2026,19:45,Morecambe,Tamworth,2.44,3.6,2.94,1.79,2.14,-0.25,1.91,1.8
26,EC,10/02/2026,19:45,Solihull,Eastleigh,1.77,3.9,4.4,1.7,2.28,-0.75,1.98,1.88
27,EC,10/02/2026,19:45,Truro,Woking,2.84,3.25,2.72,2.34,1.7,0.0,1.99,1.93
34,I2,10/02/2026,18:00,Sampdoria,Palermo,3.5,3.1,2.44,2.44,1.67,0.25,1.89,2.06
35,I2,10/02/2026,19:00,Padova,Carrarese,2.92,3.1,2.86,2.22,1.78,0.0,1.99,1.96
36,I2,10/02/2026,19:00,Pescara,Catanzaro,2.94,3.5,2.6,1.89,2.08,0.0,2.11,1.86
37,I2,10/02/2026,19:00,Reggiana,Mantova,2.62,3.2,3.2,2.14,1.82,-0.25,2.21,1.8
38,I2,10/02/2026,19:00,Venezia,Modena,1.83,3.75,5.0,2.08,1.89,-0.75,2.07,1.88
39,I2,10/02/2026,19:00,Virtus Entella,Cesena,2.92,3.0,3.0,2.46,1.66,0.0,1.95,2.01
46,SC0,10/02/2026,20:00,Hearts,Hibernian,1.91,3.65,4.7,2.06,1.9,-0.5,1.92,2.06
52,SC2,10/02/2026,19:45,Montrose,Peterhead,2.32,3.5,3.05,1.79,2.14,-0.25,2.02,1.86
53,SC3,10/02/2026,19:45,Annan Athletic,Dumbarton,2.06,3.95,3.1,1.51,2.72,-0.5,2.06,1.82
54,SC3,10/02/2026,19:45,Clyde,Elgin,2.04,3.6,3.6,1.75,2.16,-0.5,2.04,1.87
