,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
48,E1,09/02/2026,20:01,Sheffield United,Middlesbrough,2.34,3.45,3.1,1.93,2.02,-0.25,2.04,1.84
102,F2,09/02/2026,19:45,Amiens,Clermont,2.8,2.8,2.52,0.0,0.0,0.0,0.0,0.0
117,I1,09/02/2026,17:30,Atalanta,Cremonese,1.39,5.3,9.8,1.78,2.2,-1.25,1.88,2.06
118,I1,09/02/2026,19:45,Roma,Cagliari,1.53,4.3,8.0,2.16,1.83,-1.0,1.9,2.03
145,P1,09/02/2026,18:45,Famalicao,AVS,1.4,4.9,9.0,0.0,0.0,-1.25,0.0,0.0
146,P1,09/02/2026,20:45,Porto,Sp Lisbon,2.32,3.15,3.6,0.0,0.0,-0.25,0.0,0.0
162,SP1,09/02/2026,20:00,Villarreal,Espanol,1.71,4.3,4.9,1.79,2.16,-0.75,1.9,2.04
173,SP2,09/02/2026,19:30,Santander,Mirandes,1.53,4.4,6.2,0.0,0.0,-1.0,0.0,0.0
180,T1,09/02/2026,14:00,Kayserispor,Kocaelispor,2.98,1.54,1.4,0.0,0.0,0.0,0.0,0.0
181,T1,09/02/2026,17:00,Fenerbahce,Genclerbirligi,1.23,7.2,11.0,1.48,2.72,-1.75,1.72,1.83
182,T1,09/02/2026,17:00,Gaziantep,Kasimpasa,2.0,3.5,3.9,0.0,0.0,-0.5,0.0,0.0
