,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
36,E0,02/02/2026,20:00,Sunderland,Burnley,1.86,3.65,5.0,2.34,1.7,-0.75,2.13,1.83
112,I1,02/02/2026,19:45,Udinese,Roma,4.8,3.45,1.94,0.0,0.0,0.5,0.0,0.0
139,P1,02/02/2026,18:45,AVS,Sp Braga,9.0,5.3,1.39,0.0,0.0,1.25,0.0,0.0
140,P1,02/02/2026,20:45,Casa Pia,Porto,13.5,6.2,1.24,0.0,0.0,1.5,0.0,0.0
171,SP1,02/02/2026,20:00,Mallorca,Sevilla,2.48,3.25,3.25,2.32,1.7,-0.25,2.1,1.85
182,SP2,02/02/2026,19:30,Mirandes,Malaga,2.9,3.25,2.5,0.0,0.0,0.25,0.0,0.0
191,T1,02/02/2026,17:00,Kocaelispor,Fenerbahce,5.5,3.75,1.72,0.0,0.0,0.75,0.0,0.0
