,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
1,E2,15/11/2025,15:00,Burton,Blackpool,2.4,3.6,3.1,1.83,2.02,-0.25,2.08,1.86
2,E2,15/11/2025,15:00,Leyton Orient,Exeter,1.84,4.1,4.4,1.87,1.94,-0.5,1.84,2.14
3,E2,15/11/2025,15:00,Lincoln,Doncaster,2.14,3.55,3.8,2.14,1.79,-0.5,2.14,1.84
4,E2,15/11/2025,15:00,Luton,Rotherham,1.58,4.3,6.8,1.87,1.94,-1.0,1.96,1.9
5,E2,15/11/2025,15:00,Port Vale,Wycombe,2.84,3.4,2.74,2.2,1.73,0.0,2.02,1.95
6,E3,15/11/2025,15:00,Accrington,Bristol Rvs,2.5,3.45,2.92,1.92,1.96,-0.25,2.14,1.8
7,E3,15/11/2025,15:00,Bromley,Barrow,1.78,3.6,5.0,1.94,1.89,-0.75,2.02,1.83
8,E3,15/11/2025,15:00,Cambridge,Barnet,2.76,3.2,2.68,1.98,1.73,0.0,1.97,1.9
9,E3,15/11/2025,15:00,Fleetwood Town,Swindon,2.54,3.5,2.88,1.81,2.08,0.0,1.84,2.12
10,E3,15/11/2025,15:00,Grimsby,Chesterfield,2.16,3.55,3.45,1.83,2.14,-0.25,1.87,2.07
11,E3,15/11/2025,15:00,Milton Keynes Dons,Salford,2.28,3.7,3.15,1.78,2.06,-0.25,1.97,1.92
12,E3,15/11/2025,15:00,Notts County,Harrogate,1.5,4.5,7.6,1.73,2.14,-1.25,2.06,1.89
13,E3,15/11/2025,15:00,Oldham,Crewe,2.32,3.35,3.15,2.04,1.79,-0.25,2.01,1.85
14,E3,15/11/2025,15:00,Shrewsbury,Newport County,2.04,3.45,4.2,2.04,1.78,-0.5,2.04,1.89
15,E3,15/11/2025,15:00,Tranmere,Cheltenham,1.82,3.75,5.0,1.92,1.98,-0.75,2.05,1.9
16,E3,15/11/2025,15:00,Walsall,Colchester,2.32,3.4,3.35,2.3,1.7,-0.25,1.99,1.94
17,E3,15/11/2025,17:30,Gillingham,Crawley Town,1.85,3.7,4.1,1.82,2.04,-0.5,1.85,2.0
18,EC,15/11/2025,15:03,Altrincham,Brackley Town,2.38,3.3,2.9,1.76,1.92,-0.25,2.05,1.77
19,EC,15/11/2025,15:03,Boreham Wood,Tamworth,1.5,4.3,6.4,1.73,2.12,-1.0,0.0,0.0
20,EC,15/11/2025,15:03,Braintree Town,Truro,2.16,3.2,2.6,1.77,1.84,-0.25,1.88,1.69
21,EC,15/11/2025,15:03,Carlisle,Eastleigh,1.47,4.4,6.8,1.61,2.14,-1.0,0.0,0.0
22,EC,15/11/2025,15:03,Forest Green,Gateshead,1.38,5.0,6.6,1.45,2.8,-1.5,1.82,1.86
23,EC,15/11/2025,15:03,Hartlepool,Wealdstone,2.22,3.85,3.2,1.63,2.3,-0.5,2.22,1.75
24,EC,15/11/2025,15:03,Rochdale,Aldershot,1.33,6.4,9.2,1.46,2.78,-1.5,1.92,1.9
25,EC,15/11/2025,15:03,Solihull,Scunthorpe,2.96,3.75,2.32,1.72,2.14,0.25,1.85,2.05
26,EC,15/11/2025,15:03,Sutton,Halifax,2.78,3.4,2.52,1.82,1.98,0.0,2.01,1.85
27,EC,15/11/2025,15:03,Woking,Boston Utd,2.02,3.25,3.75,1.9,1.77,-0.5,2.02,1.83
28,EC,15/11/2025,15:03,Yeovil,Southend,5.3,3.8,1.64,1.83,1.98,0.75,1.99,1.82
29,EC,15/11/2025,15:03,York,Morecambe,1.22,7.0,9.6,1.23,4.2,-2.25,2.0,1.81
30,SC1,15/11/2025,15:00,Ayr,Arbroath,1.77,3.5,4.8,1.87,1.81,-0.75,2.01,1.82
31,SC1,15/11/2025,15:00,Raith Rvs,Airdrie Utd,1.57,3.95,7.2,2.06,1.78,-1.0,1.97,1.86
32,SC1,15/11/2025,15:00,Ross County,Morton,1.85,3.55,4.2,1.83,1.85,-0.5,1.85,1.97
33,SC1,15/11/2025,15:00,St Johnstone,Queens Park,1.26,5.8,14.0,1.52,2.36,-1.75,1.87,1.91
34,SC2,15/11/2025,15:00,Cove Rangers,Hamilton,4.4,3.75,1.8,1.78,2.04,0.75,1.83,2.01
35,SC2,15/11/2025,15:00,Kelty Hearts,Queen of Sth,4.5,3.55,1.78,1.89,1.91,0.75,1.8,2.01
36,SC2,15/11/2025,15:00,Peterhead,Montrose,1.72,4.0,4.1,1.73,2.06,-0.75,1.92,1.9
37,SC2,15/11/2025,17:00,East Fife,Stenhousemuir,2.04,3.1,3.4,1.81,1.89,-0.25,1.78,2.04
38,SC3,15/11/2025,15:00,Annan Athletic,Edinburgh City,2.46,3.35,2.5,1.63,2.24,0.0,1.89,1.89
39,SC3,15/11/2025,15:00,Elgin,Dumbarton,2.1,3.7,3.0,1.67,2.2,-0.25,1.85,1.93
40,SC3,15/11/2025,15:00,Spartans,Clyde,1.79,3.65,4.1,1.66,2.1,-0.5,1.79,2.03
