,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
1,E1,08/04/2025,19:45,Blackburn,Sheffield Weds,2.78,3.35,2.86,2.4,1.69,0.0,1.96,2.0
2,E1,08/04/2025,19:45,Bristol City,West Brom,2.54,3.45,3.1,2.22,1.79,-0.25,2.17,1.83
3,E1,08/04/2025,19:45,Derby,Burnley,5.0,3.3,2.0,2.98,1.49,0.5,1.98,2.0
4,E1,08/04/2025,19:45,Norwich,Sunderland,2.54,3.6,3.0,1.94,2.04,-0.25,2.2,1.82
5,E1,08/04/2025,19:45,Preston,Cardiff,2.66,3.4,3.0,2.24,1.77,0.0,1.89,2.11
6,E1,08/04/2025,19:45,Sheffield United,Millwall,1.68,3.85,6.6,2.42,1.69,-0.75,1.88,2.12
7,E1,08/04/2025,19:45,Stoke,Luton,2.52,3.25,3.3,2.5,1.65,-0.25,2.13,1.85
8,E1,08/04/2025,19:45,Watford,Hull,2.5,3.4,3.2,2.32,1.73,-0.25,2.13,1.85
9,E1,08/04/2025,20:00,Middlesbrough,Leeds,5.0,4.0,1.8,1.91,2.06,0.75,1.94,2.02
13,E2,08/04/2025,19:45,Bolton,Rotherham,1.81,3.95,4.8,1.84,2.14,-0.75,2.04,1.91
14,E2,08/04/2025,19:45,Exeter,Wigan,2.78,3.1,2.92,2.66,1.57,0.0,1.91,2.01
15,E2,08/04/2025,19:45,Huddersfield,Wycombe,2.9,3.25,2.74,2.32,1.74,0.0,2.04,1.92
16,E2,08/04/2025,19:45,Mansfield,Leyton Orient,2.58,3.45,2.98,1.98,1.99,0.0,1.84,2.13
17,E2,08/04/2025,19:45,Peterboro,Birmingham,5.0,4.4,1.7,1.72,2.34,0.75,2.07,1.9
18,E2,08/04/2025,19:45,Shrewsbury,Reading,3.75,3.55,2.14,2.12,1.85,0.5,1.84,2.14
19,E3,08/04/2025,19:45,Chesterfield,Gillingham,1.92,3.65,4.8,2.2,1.76,-0.5,1.92,2.07
21,EC,08/04/2025,19:45,Aldershot,Boston Utd,2.16,3.6,3.35,1.93,1.95,-0.25,1.88,2.01
22,EC,08/04/2025,19:45,Oldham,Woking,1.89,3.25,4.9,2.44,1.6,-0.5,1.89,2.0
23,EC,08/04/2025,19:45,Sutton,Rochdale,2.82,3.3,2.6,2.0,1.87,0.0,2.01,1.87
