,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
90,F2,31/03/2025,19:45,Paris FC,Caen,1.09,1.09,1.04,0.0,0.0,-1.0,0.0,0.0
106,I1,31/03/2025,17:30,Verona,Parma,2.54,3.2,3.35,2.2,1.76,-0.25,2.14,1.85
107,I1,31/03/2025,19:45,Lazio,Torino,1.79,3.65,5.8,2.12,1.87,-0.75,1.99,1.9
163,SP1,31/03/2025,20:00,Celta,Las Palmas,1.59,4.3,6.6,1.75,2.12,-1.0,1.92,1.86
174,SP2,31/03/2025,19:30,Cadiz,Eibar,1.36,1.73,3.2,0.0,0.0,-0.25,0.0,0.0
183,T1,31/03/2025,18:00,Eyupspor,Buyuksehyr,1.06,1.2,2.72,0.0,0.0,0.0,0.0,0.0
