,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
1,B1,28/02/2025,19:45,Charleroi,Genk,2.72,3.5,2.78,1.95,2.02,0.0,1.95,2.0
9,D1,28/02/2025,19:30,Stuttgart,Bayern Munich,5.3,4.5,1.68,1.6,2.62,0.75,2.13,1.85
18,D2,28/02/2025,17:30,Fortuna Dusseldorf,Greuther Furth,1.96,3.9,4.1,1.7,2.4,-0.5,1.96,2.02
19,D2,28/02/2025,17:30,Schalke 04,Preußen Münster,1.86,3.85,4.7,1.91,2.06,-0.75,2.1,1.86
27,E1,28/02/2025,20:00,Sheffield Weds,Sunderland,2.94,3.35,2.74,2.18,1.83,0.0,2.05,1.92
66,F1,28/02/2025,19:45,Monaco,Reims,1.39,5.7,8.8,1.51,2.9,-1.5,2.06,1.9
75,F2,28/02/2025,19:00,Annecy,Paris FC,4.0,3.2,2.22,2.4,1.69,0.25,2.1,1.87
76,F2,28/02/2025,19:00,Clermont,Caen,2.32,3.4,3.45,2.28,1.75,-0.25,1.98,1.98
77,F2,28/02/2025,19:00,Laval,Martigues,1.83,3.65,5.2,2.16,1.82,-0.75,2.08,1.88
78,F2,28/02/2025,19:00,Pau FC,Grenoble,2.02,3.8,3.9,1.95,2.0,-0.5,2.02,1.94
79,F2,28/02/2025,19:00,Troyes,Bastia,2.8,2.98,3.15,2.7,1.56,0.0,1.87,2.09
91,I1,28/02/2025,19:45,Fiorentina,Lecce,1.82,3.55,5.7,2.4,1.7,-0.75,2.09,1.88
101,I2,28/02/2025,18:30,Sudtirol,Spezia,5.2,3.45,1.9,2.46,1.66,0.5,2.07,1.9
111,N1,28/02/2025,19:00,Waalwijk,For Sittard,2.04,3.75,4.0,1.68,2.4,-0.5,2.04,1.94
134,SC1,28/02/2025,19:45,Partick,Livingston,3.8,3.4,2.14,2.12,1.79,0.25,2.12,1.83
149,SP1,28/02/2025,20:00,Valladolid,Las Palmas,3.3,3.3,2.5,2.32,1.73,0.25,1.87,2.12
159,SP2,28/02/2025,19:30,Cartagena,Eibar,4.8,3.15,2.06,2.8,1.53,0.5,1.92,2.06
