,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
5,B1,19/01/2025,12:30,Kortrijk,Anderlecht,4.1,3.85,1.94,1.9,1.86,0.5,2.0,1.94
6,B1,19/01/2025,15:00,St. Gilloise,Oud-Heverlee Leuven,1.45,4.8,7.4,1.8,2.06,-1.25,0.0,0.0
7,B1,19/01/2025,17:30,St Truiden,Standard,2.1,3.5,3.8,2.06,1.83,-0.25,0.0,0.0
8,B1,19/01/2025,18:15,Antwerp,Westerlo,1.8,4.2,4.3,1.54,2.44,-0.75,0.0,0.0
16,D1,19/01/2025,14:30,Union Berlin,Mainz,2.74,3.25,3.0,2.2,1.81,0.0,1.9,2.08
17,D1,19/01/2025,16:30,Werder Bremen,Augsburg,1.96,3.75,4.3,1.89,2.06,-0.5,1.96,2.02
24,D2,19/01/2025,12:30,Elversberg,Magdeburg,2.18,3.9,3.2,1.59,2.5,-0.25,1.92,1.97
25,D2,19/01/2025,12:30,Nurnberg,Karlsruhe,2.22,3.7,3.15,1.58,2.52,-0.25,1.94,1.97
26,D2,19/01/2025,12:30,Paderborn,Hertha,2.34,3.9,3.0,1.62,2.42,-0.25,2.04,1.88
32,E0,19/01/2025,14:00,Everton,Tottenham,2.9,3.7,2.56,1.76,2.28,0.25,1.8,2.21
33,E0,19/01/2025,14:00,Man United,Brighton,2.12,3.85,3.65,1.73,2.34,-0.25,1.84,2.15
34,E0,19/01/2025,14:00,Nott'm Forest,Southampton,1.44,5.1,8.6,1.8,2.18,-1.25,1.95,2.0
35,E0,19/01/2025,16:30,Ipswich,Man City,8.8,5.7,1.39,1.49,2.92,1.5,1.91,2.06
48,E1,19/01/2025,12:00,Leeds,Sheffield Weds,1.4,5.2,8.4,1.77,2.16,-1.25,1.76,2.11
88,F1,19/01/2025,14:00,St Etienne,Nantes,2.6,3.3,3.0,2.16,1.79,0.0,1.83,2.14
89,F1,19/01/2025,16:15,Angers,Auxerre,2.56,3.35,3.15,2.06,1.86,-0.25,2.17,1.82
90,F1,19/01/2025,16:15,Reims,Le Havre,1.68,4.0,5.9,2.0,1.89,-0.75,1.86,2.09
91,F1,19/01/2025,19:45,Marseille,Strasbourg,1.63,4.4,5.7,1.64,2.46,-1.0,2.03,1.88
102,G1,19/01/2025,13:00,Atromitos,Olympiakos,5.2,3.9,1.41,2.16,1.71,1.0,1.76,1.84
103,G1,19/01/2025,14:30,Levadeiakos,Asteras Tripolis,2.5,2.88,2.98,2.52,1.51,-0.25,2.09,1.72
104,G1,19/01/2025,14:30,Panetolikos,OFI Crete,2.5,3.1,2.94,2.16,1.64,-0.25,0.0,0.0
105,G1,19/01/2025,17:00,Aris,PAOK,3.3,3.3,2.02,2.08,1.67,0.25,0.0,0.0
106,G1,19/01/2025,18:30,Panathinaikos,AEK,2.76,3.1,2.6,2.16,1.6,0.0,0.0,0.0
112,I1,19/01/2025,11:30,Fiorentina,Torino,1.79,3.6,6.0,2.4,1.69,-0.75,2.03,1.94
113,I1,19/01/2025,14:00,Cagliari,Lecce,2.02,3.5,4.4,2.02,1.86,-0.5,2.02,1.95
114,I1,19/01/2025,14:00,Parma,Venezia,2.28,3.65,3.4,1.77,2.18,-0.25,1.97,2.0
115,I1,19/01/2025,17:00,Verona,Lazio,5.1,3.85,1.83,2.08,1.88,0.75,1.9,2.08
116,I1,19/01/2025,19:45,Inter,Empoli,1.25,7.0,16.0,1.61,2.5,-1.75,1.92,2.01
124,I2,19/01/2025,14:00,Catanzaro,Pisa,3.25,3.05,2.4,2.28,1.67,0.25,1.8,2.03
125,I2,19/01/2025,14:00,Palermo,Juve Stabia,1.99,3.15,4.1,2.18,1.66,-0.5,1.99,1.9
126,I2,19/01/2025,14:00,Sassuolo,Sudtirol,1.53,4.1,6.8,1.89,1.99,-1.0,1.86,1.99
127,I2,19/01/2025,16:15,Carrarese,Spezia,3.1,2.92,2.6,2.46,1.55,0.0,0.0,0.0
132,N1,19/01/2025,11:15,NAC Breda,Twente,5.2,4.1,1.74,1.77,2.16,0.75,2.01,1.92
133,N1,19/01/2025,13:30,Almere City,Heracles,2.42,3.4,3.1,1.87,1.87,-0.25,2.07,1.81
134,N1,19/01/2025,13:30,Heerenveen,Ajax,6.0,4.5,1.62,1.66,2.08,1.0,1.9,2.01
135,N1,19/01/2025,15:45,Nijmegen,For Sittard,1.89,3.6,4.7,1.99,1.9,-0.5,0.0,0.0
136,N1,19/01/2025,19:00,Sparta Rotterdam,Waalwijk,1.56,4.5,6.0,1.63,2.38,-1.0,0.0,0.0
141,P1,19/01/2025,15:30,Moreirense,Farense,1.97,3.2,4.9,2.6,1.54,-0.5,0.0,0.0
142,P1,19/01/2025,15:30,Nacional,AVS,2.1,3.4,4.2,2.34,1.63,-0.25,0.0,0.0
143,P1,19/01/2025,18:00,Estrela,Sp Braga,5.3,4.0,1.69,1.84,2.02,0.75,0.0,0.0
144,P1,19/01/2025,20:30,Gil Vicente,Porto,9.8,4.6,1.42,2.0,1.87,1.25,0.0,0.0
155,SP1,19/01/2025,13:00,Celta,Ath Bilbao,3.0,3.2,2.76,2.38,1.69,0.0,2.09,1.89
156,SP1,19/01/2025,15:15,Real Madrid,Las Palmas,1.18,9.6,18.5,1.35,3.65,-2.25,1.95,1.99
157,SP1,19/01/2025,17:30,Osasuna,Vallecano,2.26,3.1,4.0,2.64,1.58,-0.25,1.9,2.06
158,SP1,19/01/2025,20:00,Valencia,Sociedad,3.15,3.1,2.7,2.98,1.48,0.25,1.77,2.26
165,SP2,19/01/2025,13:00,Burgos,La Coruna,2.58,3.05,3.1,2.44,1.62,-0.25,2.17,1.75
166,SP2,19/01/2025,15:15,Santander,Ferrol,1.61,4.0,6.2,1.89,1.93,-1.0,0.0,0.0
167,SP2,19/01/2025,17:30,Castellon,Cordoba,1.88,3.9,4.6,1.64,2.24,-0.5,0.0,0.0
168,SP2,19/01/2025,17:30,Zaragoza,Tenerife,1.73,3.2,5.5,2.42,1.54,-0.75,0.0,0.0
169,SP2,19/01/2025,20:00,Almeria,Huesca,1.6,4.0,6.2,1.98,1.72,-1.0,0.0,0.0
175,T1,19/01/2025,10:30,Goztep,Antalyaspor,1.62,4.2,6.0,1.74,1.95,-1.0,2.02,1.88
176,T1,19/01/2025,13:00,Konyaspor,Kasimpasa,2.14,3.3,3.55,1.86,2.0,-0.25,1.87,2.03
177,T1,19/01/2025,16:00,Ad. Demirspor,Fenerbahce,13.0,8.4,1.18,1.27,3.55,2.25,0.0,0.0
178,T1,19/01/2025,16:00,Eyupspor,Alanyaspor,2.18,3.45,3.8,1.9,1.93,-0.25,0.0,0.0
