,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
1,E1,04/02/2025,19:45,Burnley,Oxford,1.55,4.1,8.8,2.36,1.72,-1.0,1.98,1.98
2,E1,04/02/2025,19:45,QPR,Blackburn,2.76,3.25,2.98,2.42,1.69,0.0,1.92,2.07
4,E3,04/02/2025,19:45,Newport County,Morecambe,2.78,3.5,2.74,1.89,2.06,0.0,2.0,1.96
5,E3,04/02/2025,19:45,Salford,Bromley,2.28,3.4,3.6,2.18,1.79,-0.25,1.95,2.0
7,EC,04/02/2025,19:45,Dag and Red,Forest Green,3.65,3.45,2.08,1.99,1.89,0.25,2.08,1.81
8,EC,04/02/2025,19:45,Halifax,Fylde,1.51,4.5,6.4,1.73,2.26,-1.0,1.81,2.05
9,EC,04/02/2025,19:45,Rochdale,Oldham,2.48,3.35,2.88,2.06,1.84,0.0,1.75,2.07
10,EC,04/02/2025,19:45,Wealdstone,Tamworth,2.0,3.5,3.9,1.8,1.95,-0.5,2.0,1.92
12,SC3,04/02/2025,19:45,Elgin,Bonnyrigg Rose,2.06,3.4,3.85,2.02,1.81,-0.25,1.78,2.19
13,SC3,04/02/2025,19:45,Stirling,Spartans,2.9,3.25,2.46,2.02,1.78,0.0,2.07,1.76
14,SC3,04/02/2025,19:45,Stranraer,Forfar,2.82,3.05,2.62,2.26,1.63,0.0,2.0,1.83
