,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
5,B1,04/05/2025,12:30,Standard,Charleroi,3.35,3.25,2.28,2.16,1.75,0.25,1.92,1.95
6,B1,04/05/2025,15:00,St Truiden,Beerschot VA,1.04,2.54,2.54,1.52,2.2,-1.25,0.0,0.0
13,D1,04/05/2025,14:30,Augsburg,Holstein Kiel,1.92,3.85,4.5,1.87,2.1,-0.5,1.92,2.07
14,D1,04/05/2025,16:30,Freiburg,Leverkusen,3.25,3.65,2.34,1.84,2.16,0.25,1.94,2.02
15,D1,04/05/2025,18:30,Mainz,Ein Frankfurt,2.46,3.8,2.96,1.67,2.4,-0.25,2.14,1.86
22,D2,04/05/2025,12:30,Hertha,Greuther Furth,1.83,4.2,4.3,1.63,2.38,-0.75,1.97,1.71
23,D2,04/05/2025,12:30,Karlsruhe,Kaiserslautern,2.4,3.8,2.9,1.61,2.48,0.0,1.78,2.13
24,D2,04/05/2025,12:30,Nurnberg,Elversberg,3.9,4.1,1.92,1.64,2.42,0.5,2.01,1.92
30,E0,04/05/2025,14:00,Brentford,Man United,1.76,4.3,4.9,1.7,2.38,-0.75,1.94,1.98
31,E0,04/05/2025,14:00,Brighton,Newcastle,2.94,3.9,2.42,1.59,2.62,0.25,1.87,2.12
32,E0,04/05/2025,14:00,West Ham,Tottenham,2.14,3.85,3.5,1.62,2.52,-0.25,1.86,2.12
33,E0,04/05/2025,16:30,Chelsea,Liverpool,2.24,3.9,3.3,1.6,2.58,-0.25,1.95,2.02
87,F1,04/05/2025,14:00,Nantes,Angers,1.96,3.45,4.8,2.14,1.78,-0.5,1.96,2.02
88,F1,04/05/2025,16:15,Auxerre,Le Havre,2.22,3.65,3.55,1.81,2.08,-0.25,1.91,2.08
89,F1,04/05/2025,16:15,Brest,Montpellier,1.4,5.5,8.6,1.59,2.52,-1.5,2.03,1.81
90,F1,04/05/2025,16:15,Lyon,Lens,1.58,4.8,6.0,1.54,2.64,-1.0,1.9,2.02
91,F1,04/05/2025,19:45,Lille,Marseille,2.4,3.55,3.1,1.92,1.99,-0.25,2.07,1.91
103,G1,04/05/2025,18:00,AEK,Panathinaikos,1.86,1.83,3.15,1.94,1.66,-0.5,0.0,0.0
104,G1,04/05/2025,18:00,Olympiakos,PAOK,2.66,3.5,2.44,2.04,1.8,0.0,0.0,0.0
113,I1,04/05/2025,11:30,Empoli,Lazio,4.8,3.65,1.9,2.06,1.9,0.5,2.08,1.9
114,I1,04/05/2025,14:00,Monza,Atalanta,14.5,7.2,1.25,1.53,2.7,1.75,2.01,1.86
115,I1,04/05/2025,17:00,Roma,Fiorentina,1.67,4.0,6.0,2.1,1.89,-0.75,1.85,2.12
116,I1,04/05/2025,19:45,Bologna,Juventus,2.54,3.1,3.35,2.42,1.66,-0.25,2.14,1.85
118,I2,04/05/2025,14:00,Bari,Pisa,3.7,3.0,2.24,2.36,1.62,0.25,0.0,0.0
119,I2,04/05/2025,14:00,Brescia,Juve Stabia,1.52,2.6,2.96,2.36,1.57,0.0,0.0,0.0
120,I2,04/05/2025,14:00,Carrarese,Modena,2.28,3.35,3.45,2.02,1.83,-0.25,0.0,0.0
121,I2,04/05/2025,14:00,Catanzaro,Sampdoria,1.96,2.7,3.4,1.84,1.07,-0.25,0.0,0.0
122,I2,04/05/2025,14:00,Cesena,Palermo,2.5,1.01,2.98,1.99,1.7,-0.25,0.0,0.0
123,I2,04/05/2025,14:00,Frosinone,Cittadella,2.28,2.88,3.9,2.38,1.44,-0.25,0.0,0.0
