,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
4,B1,18/05/2025,12:30,Anderlecht,Club Brugge,4.8,4.1,1.75,1.74,2.16,0.75,1.97,1.94
5,B1,18/05/2025,15:00,Mechelen,Charleroi,2.3,3.85,1.32,1.57,2.42,-0.25,0.0,0.0
6,B1,18/05/2025,17:30,Gent,Genk,4.0,3.95,1.93,1.59,2.26,0.5,0.0,0.0
16,D2,18/05/2025,14:30,Braunschweig,Nurnberg,1.73,4.4,4.7,1.54,2.62,-0.75,0.0,0.0
17,D2,18/05/2025,14:30,Darmstadt,Regensburg,1.45,5.2,7.4,1.43,2.8,-1.25,0.0,0.0
18,D2,18/05/2025,14:30,FC Koln,Kaiserslautern,1.52,5.0,6.0,1.39,3.25,-1.25,0.0,0.0
19,D2,18/05/2025,14:30,Greuther Furth,Hamburg,2.82,4.4,2.34,1.4,3.15,0.25,0.0,0.0
20,D2,18/05/2025,14:30,Hertha,Hannover,1.99,4.2,3.7,1.53,2.66,-0.5,0.0,0.0
21,D2,18/05/2025,14:30,Karlsruhe,Paderborn,4.7,4.5,1.66,1.37,3.0,1.0,0.0,0.0
22,D2,18/05/2025,14:30,Magdeburg,Fortuna Dusseldorf,2.32,4.1,2.9,1.46,2.92,-0.25,0.0,0.0
23,D2,18/05/2025,14:30,Schalke 04,Elversberg,4.1,1.04,1.23,1.37,2.6,1.0,0.0,0.0
24,D2,18/05/2025,14:30,Ulm,Preußen Münster,3.75,3.85,2.06,1.7,2.26,0.5,0.0,0.0
27,E0,18/05/2025,12:00,Everton,Southampton,1.43,5.1,8.8,1.83,2.16,-1.25,1.96,1.97
28,E0,18/05/2025,14:15,West Ham,Nott'm Forest,2.92,3.5,2.64,2.0,1.96,0.0,2.09,1.89
29,E0,18/05/2025,15:00,Brentford,Fulham,1.99,4.0,3.9,1.69,2.38,-0.5,1.99,2.0
30,E0,18/05/2025,15:00,Leicester,Ipswich,2.38,3.7,3.1,1.78,2.2,-0.25,2.06,1.9
31,E0,18/05/2025,16:30,Arsenal,Newcastle,2.04,3.75,4.0,1.82,2.18,-0.5,2.04,1.94
44,G1,18/05/2025,13:00,Panserraikos,Levadeiakos,2.12,3.35,3.1,1.75,2.22,-0.25,0.0,0.0
45,G1,18/05/2025,16:00,Lamia,Panetolikos,1.04,3.3,2.04,2.04,1.63,0.25,0.0,0.0
46,G1,18/05/2025,18:00,Volos NFC,Athens Kallithea,1.04,1.01,1.04,1.01,1.15,-0.25,0.0,0.0
48,I1,18/05/2025,19:45,Cagliari,Venezia,2.74,3.1,3.1,2.28,1.72,0.0,1.86,2.12
49,I1,18/05/2025,19:45,Fiorentina,Bologna,2.98,3.2,2.8,2.08,1.66,0.0,2.04,1.92
50,I1,18/05/2025,19:45,Inter,Lazio,1.66,4.2,5.9,1.81,2.14,-0.75,1.84,2.14
51,I1,18/05/2025,19:45,Juventus,Udinese,1.39,5.2,10.5,1.95,1.97,-1.25,1.89,1.98
52,I1,18/05/2025,19:45,Lecce,Torino,1.95,3.45,4.9,2.4,1.65,-0.5,1.95,2.03
53,I1,18/05/2025,19:45,Monza,Empoli,5.5,3.75,1.8,2.24,1.74,0.75,1.91,2.05
54,I1,18/05/2025,19:45,Parma,Napoli,7.0,4.4,1.56,1.97,2.0,1.0,1.98,1.94
55,I1,18/05/2025,19:45,Roma,Milan,2.42,3.65,3.05,1.83,2.12,-0.25,2.08,1.88
