,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
1,B1,10/01/2025,19:45,Standard,Kortrijk,2.1,3.4,4.1,2.14,1.82,-0.5,2.1,1.87
9,D1,10/01/2025,19:30,Dortmund,Leverkusen,2.94,3.75,2.52,1.63,2.54,0.25,1.83,2.18
40,F1,10/01/2025,18:00,Nantes,Monaco,5.2,3.9,1.8,1.91,2.06,0.75,1.95,2.02
41,F1,10/01/2025,20:05,Auxerre,Lille,5.0,3.9,1.83,1.87,2.12,0.75,1.91,2.06
49,F2,10/01/2025,19:00,Annecy,Guingamp,2.7,3.3,2.92,2.18,1.81,0.0,1.9,2.06
50,F2,10/01/2025,19:00,Bastia,Ajaccio,1.74,3.45,6.6,2.92,1.5,-0.75,1.98,1.97
51,F2,10/01/2025,19:00,Laval,Red Star,2.1,3.4,4.1,2.2,1.8,-0.5,2.1,1.87
52,F2,10/01/2025,19:00,Martigues,Clermont,5.0,3.75,1.81,2.08,1.89,0.75,1.92,2.04
53,F2,10/01/2025,19:00,Pau FC,Dunkerque,2.66,3.3,2.98,2.1,1.88,0.0,1.85,2.1
54,F2,10/01/2025,19:00,Rodez,Troyes,2.54,3.5,3.0,1.9,2.06,-0.25,2.18,1.81
65,I1,10/01/2025,19:45,Lazio,Como,1.95,3.6,4.6,2.2,1.83,-0.5,1.95,2.04
85,N1,10/01/2025,19:00,For Sittard,Go Ahead Eagles,3.05,3.5,2.54,1.91,2.06,0.25,1.82,2.18
99,SC1,10/01/2025,19:45,Hamilton,Partick,3.4,3.55,2.26,1.84,2.08,0.25,1.97,1.96
112,SP1,10/01/2025,20:00,Vallecano,Celta,2.92,3.2,2.86,2.34,1.73,0.0,2.0,1.97
120,SP2,10/01/2025,19:30,Granada,Burgos,2.02,3.4,4.5,2.4,1.69,-0.5,2.03,1.96
