,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
5,B1,06/04/2025,12:30,Antwerp,Club Brugge,4.7,4.1,1.78,1.69,2.22,0.75,0.0,0.0
6,B1,06/04/2025,15:00,St Truiden,Kortrijk,1.94,3.65,4.0,1.71,1.94,-0.5,0.0,0.0
7,B1,06/04/2025,17:30,Anderlecht,Genk,1.09,1.09,1.09,1.81,1.83,0.25,0.0,0.0
8,B1,06/04/2025,18:15,Charleroi,Standard,1.88,3.4,1.09,2.06,1.72,-0.5,0.0,0.0
16,D1,06/04/2025,14:30,St Pauli,M'gladbach,2.6,3.55,2.96,1.89,2.02,0.0,1.86,2.12
17,D1,06/04/2025,16:30,Union Berlin,Wolfsburg,2.5,3.4,3.15,2.1,1.88,-0.25,2.13,1.86
24,D2,06/04/2025,12:30,Elversberg,Regensburg,1.47,4.7,7.2,1.71,2.22,-1.25,0.0,0.0
25,D2,06/04/2025,12:30,Magdeburg,Kaiserslautern,1.94,4.3,3.8,1.5,2.8,-0.5,0.0,0.0
26,D2,06/04/2025,12:30,Schalke 04,Ulm,1.87,3.9,3.95,1.87,1.96,-0.5,0.0,0.0
32,E0,06/04/2025,14:00,Brentford,Chelsea,3.4,3.85,2.2,1.59,2.5,0.25,2.06,1.92
33,E0,06/04/2025,14:00,Fulham,Liverpool,4.6,3.9,1.9,1.84,2.14,0.5,2.11,1.9
34,E0,06/04/2025,14:00,Tottenham,Southampton,1.42,5.9,7.6,1.43,3.1,-1.5,2.05,1.86
35,E0,06/04/2025,16:30,Man United,Man City,3.5,3.75,2.2,1.74,2.28,0.25,2.06,1.9
86,F1,06/04/2025,14:00,Lens,St Etienne,1.59,4.5,6.4,1.63,2.44,-1.0,1.93,2.0
87,F1,06/04/2025,16:15,Montpellier,Le Havre,2.5,3.55,3.05,1.75,2.0,-0.25,2.14,1.83
88,F1,06/04/2025,16:15,Reims,Strasbourg,3.5,3.65,2.24,1.99,1.9,0.25,2.04,1.93
