,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
1,E0,25/02/2025,19:30,Brighton,Bournemouth,2.14,3.95,3.5,1.67,2.46,-0.25,1.87,2.13
2,E0,25/02/2025,19:30,Crystal Palace,Aston Villa,2.64,3.5,2.94,1.94,2.04,0.0,1.89,2.1
3,E0,25/02/2025,19:30,Wolves,Fulham,2.8,3.45,2.78,2.1,1.89,0.0,2.0,1.99
4,E0,25/02/2025,20:15,Chelsea,Southampton,1.19,9.6,17.5,1.32,4.0,-2.25,1.99,1.96
11,E1,25/02/2025,19:45,Cardiff,Hull,2.82,3.35,2.84,2.2,1.81,0.0,1.98,2.0
12,E1,25/02/2025,19:45,Stoke,Middlesbrough,3.1,3.6,2.44,1.96,2.02,0.25,1.89,2.11
13,E2,25/02/2025,19:45,Birmingham,Leyton Orient,1.66,3.9,6.8,2.18,1.79,-0.75,1.84,2.13
14,E2,25/02/2025,19:45,Northampton,Barnsley,3.9,3.7,2.06,1.99,1.94,0.5,1.9,2.06
15,E2,25/02/2025,19:45,Wigan,Huddersfield,3.2,3.1,2.64,2.72,1.55,0.0,2.2,1.78
16,E3,25/02/2025,19:45,Bromley,Bradford,3.1,3.3,2.52,2.22,1.76,0.25,1.81,2.16
17,E3,25/02/2025,19:45,Cheltenham,Walsall,3.45,3.35,2.36,2.16,1.83,0.25,1.97,2.01
18,E3,25/02/2025,19:45,Gillingham,Fleetwood Town,2.66,3.25,2.98,2.62,1.56,0.0,1.87,2.1
19,E3,25/02/2025,19:45,Tranmere,Accrington,2.36,3.35,3.2,2.22,1.77,-0.25,2.03,1.9
21,EC,25/02/2025,19:45,Aldershot,Solihull,2.16,3.45,3.45,1.86,1.98,-0.25,1.84,2.0
22,EC,25/02/2025,19:45,Eastleigh,Gateshead,3.2,3.55,2.18,1.8,2.04,0.25,1.97,1.9
23,EC,25/02/2025,19:45,Maidenhead,York,4.0,3.6,1.91,1.99,1.85,0.5,1.98,1.91
24,EC,25/02/2025,19:45,Tamworth,Rochdale,3.1,3.3,2.34,2.06,1.8,0.25,1.85,2.01
25,EC,25/02/2025,19:45,Wealdstone,Boston Utd,2.12,3.25,3.7,2.08,1.79,-0.25,1.82,2.06
27,SC0,25/02/2025,20:00,Celtic,Aberdeen,1.16,10.5,21.0,1.35,3.75,-2.25,1.86,2.04
33,SC1,25/02/2025,19:45,Airdrie Utd,Raith Rvs,3.45,3.5,2.16,2.04,1.84,0.25,2.03,1.88
34,SC1,25/02/2025,19:45,Hamilton,Dunfermline,2.96,3.15,2.74,2.18,1.74,0.0,2.06,1.88
35,SC1,25/02/2025,19:45,Livingston,Morton,1.47,4.0,7.4,2.06,1.8,-1.25,2.14,1.76
36,SC2,25/02/2025,19:45,Arbroath,Kelty Hearts,1.7,3.25,3.25,1.83,1.9,-0.75,1.86,1.79
37,SC3,25/02/2025,19:45,Spartans,Forfar,2.32,2.98,3.35,2.28,1.61,-0.25,1.99,1.85
