,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
1,B1,25/04/2025,19:45,Beerschot VA,Kortrijk,4.1,4.0,1.92,1.76,2.26,0.5,2.05,1.92
9,D1,25/04/2025,19:30,Stuttgart,Heidenheim,1.54,5.1,6.4,1.51,2.9,-1.25,2.08,1.9
18,D2,25/04/2025,17:30,Greuther Furth,Ulm,2.24,3.55,3.6,2.02,1.95,-0.25,1.92,2.05
19,D2,25/04/2025,17:30,Hertha,Magdeburg,2.34,3.95,3.1,1.52,2.88,-0.25,2.04,1.94
34,E1,25/04/2025,20:00,Stoke,Sheffield United,2.54,3.35,3.2,2.22,1.79,-0.25,2.17,1.84
82,F1,25/04/2025,19:45,Paris SG,Nice,1.73,4.6,4.7,1.49,2.98,-0.75,1.91,2.07
91,F2,25/04/2025,19:00,Annecy,Ajaccio,2.1,3.35,4.2,2.48,1.66,-0.5,2.1,1.89
92,F2,25/04/2025,19:00,Bastia,Grenoble,1.57,4.5,6.6,1.76,2.26,-1.0,1.96,2.0
93,F2,25/04/2025,19:00,Guingamp,Martigues,1.45,5.1,7.8,1.66,2.44,-1.25,1.99,1.93
94,F2,25/04/2025,19:00,Laval,Amiens,1.6,4.1,6.6,2.06,1.89,-1.0,2.03,1.87
95,F2,25/04/2025,19:00,Red Star,Clermont,2.52,3.55,2.94,1.96,2.02,0.0,1.82,2.13
96,F2,25/04/2025,19:00,Troyes,Dunkerque,2.8,3.25,2.86,2.28,1.74,0.0,1.97,2.0
117,I2,25/04/2025,11:30,Frosinone,Spezia,4.1,3.5,2.08,1.99,1.98,0.5,1.9,2.09
118,I2,25/04/2025,14:00,Bari,Modena,2.46,3.1,3.55,2.3,1.75,-0.25,2.07,1.9
119,I2,25/04/2025,14:00,Brescia,Pisa,3.65,3.25,2.32,2.24,1.78,0.25,2.02,1.95
120,I2,25/04/2025,14:00,Carrarese,Sampdoria,2.9,3.05,2.96,2.48,1.66,0.0,1.98,1.99
121,I2,25/04/2025,14:00,Reggiana,Cittadella,2.12,3.3,4.2,2.4,1.69,-0.5,2.13,1.86
122,I2,25/04/2025,14:00,Salernitana,Cosenza,1.8,3.8,5.3,2.12,1.87,-0.75,2.03,1.95
123,I2,25/04/2025,17:00,Cremonese,Mantova,1.55,4.6,6.6,1.67,2.44,-1.0,1.87,2.08
124,I2,25/04/2025,19:30,Cesena,Sassuolo,3.15,3.45,2.46,2.08,1.9,0.25,1.87,2.11
127,N1,25/04/2025,17:45,Waalwijk,Utrecht,3.95,4.1,1.95,1.54,2.8,0.5,2.03,1.95
128,N1,25/04/2025,20:00,Feyenoord,Zwolle,1.25,7.0,14.5,1.52,2.84,-1.75,1.92,2.01
133,P1,25/04/2025,20:30,Famalicao,Sp Braga,3.55,3.4,2.32,2.32,1.74,0.25,1.98,1.99
148,SC1,25/04/2025,19:45,Partick,Falkirk,4.9,3.7,1.76,1.99,1.92,0.75,1.88,2.0
164,SP2,25/04/2025,19:30,Cadiz,Sp Gijon,2.12,3.2,4.3,2.34,1.72,-0.5,2.12,1.86
175,T1,25/04/2025,18:00,Besiktas,Hatayspor,1.27,7.2,12.0,1.33,3.9,-2.0,2.05,1.87
