,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
1,E1,21/01/2025,19:45,Blackburn,Coventry,2.76,3.25,2.98,2.2,1.8,0.0,1.92,2.06
2,E1,21/01/2025,19:45,Derby,Sunderland,3.8,3.45,2.22,2.34,1.71,0.25,2.09,1.89
3,E1,21/01/2025,19:45,Hull,QPR,2.2,3.45,3.8,2.28,1.76,-0.25,1.88,2.11
4,E1,21/01/2025,19:45,Middlesbrough,West Brom,2.04,3.6,4.0,2.04,1.92,-0.5,2.05,1.92
5,E1,21/01/2025,19:45,Oxford,Luton,3.1,3.25,2.66,2.44,1.67,0.0,2.14,1.84
6,E1,21/01/2025,19:45,Swansea,Sheffield United,3.0,3.4,2.66,2.24,1.79,0.0,2.11,1.87
7,E1,21/01/2025,19:45,Watford,Preston,2.2,3.45,3.75,2.24,1.78,-0.25,1.88,2.1
8,E1,21/01/2025,20:00,Millwall,Cardiff,2.28,3.05,4.2,3.05,1.47,-0.25,1.9,2.08
13,E2,21/01/2025,19:45,Bolton,Charlton,2.26,3.5,3.5,1.99,1.96,-0.25,1.94,2.01
14,E2,21/01/2025,19:45,Peterboro,Exeter,2.0,3.9,4.0,1.76,2.24,-0.5,2.0,1.97
15,E2,21/01/2025,19:45,Wigan,Burton,1.72,3.8,6.0,2.22,1.76,-0.75,1.92,2.01
17,E3,21/01/2025,19:45,Fleetwood Town,Milton Keynes Dons,2.38,3.5,3.15,1.9,2.04,-0.25,2.05,1.92
18,E3,21/01/2025,19:45,Harrogate,Colchester,3.95,3.45,2.1,2.3,1.71,0.5,1.87,2.1
19,EC,21/01/2025,19:45,Oldham,York,2.5,3.45,2.96,1.87,1.94,-0.25,2.15,1.81
20,SC2,21/01/2025,19:45,Queen of Sth,Inverness C,3.4,3.35,2.16,2.06,1.75,0.25,2.03,1.89
21,SC3,21/01/2025,19:45,Bonnyrigg Rose,Spartans,2.54,3.1,2.92,2.36,1.63,0.0,1.8,2.02
