,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
36,E0,03/11/2025,20:00,Sunderland,Everton,2.9,3.2,2.86,2.46,1.66,0.0,1.99,1.97
66,F2,03/11/2025,19:45,Pau FC,Troyes,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
73,G1,03/11/2025,15:00,Asteras Tripolis,OFI Crete,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0
82,I1,03/11/2025,17:30,Sassuolo,Genoa,2.58,3.05,3.4,2.5,1.57,-0.25,2.16,1.82
83,I1,03/11/2025,19:45,Lazio,Cagliari,1.6,4.1,7.0,2.0,1.94,-1.0,2.05,1.88
111,P1,03/11/2025,20:45,Gil Vicente,Santa Clara,2.38,2.88,3.7,0.0,0.0,-0.25,0.0,0.0
139,SP1,03/11/2025,20:00,Oviedo,Osasuna,3.2,3.05,2.66,2.54,1.6,0.0,2.17,1.82
150,SP2,03/11/2025,19:30,Valladolid,Granada,1.04,1.01,1.04,0.0,0.0,-0.5,0.0,0.0
157,T1,03/11/2025,17:00,Alanyaspor,Gaziantep,2.14,3.3,3.6,0.0,0.0,-0.25,0.0,0.0
158,T1,03/11/2025,17:00,Eyupspor,Antalyaspor,1.87,1.03,4.8,0.0,0.0,-0.5,0.0,0.0
159,T1,03/11/2025,17:00,Rizespor,Karagumruk,1.72,3.7,5.2,0.0,0.0,-0.75,0.0,0.0
